1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
97,122,68,33,26,18,19,20,14,21,23,19,18,18,18,45,34,23,11,10,25,22,32,24
23,21,24,14,22,18,17,22,17,16,19,19,11,10,11,10,13,16,5,12,22,16,20,35
24,26,20,19,19,22,14,15,17,14,20,25,21,14,20,7,22,17,14,21,15,4,7,9
3,13,6,10,5,10,11,12,19,27,24,20,17,21,32,7,4,6,14,3,1,4,19,16
4,14,8,3,8,12,16,10,12,9,10,2,5,6,6,15,10,4,12,14,11,2,5,5
3,4,7,3,1,13,13,14,9,2,15,7,12,14,7,20,11,16,23,19,19,4,10,2
11,6,15,20,18,16,24,25,23,12,18,31,27,24,12,20,16,13,23,24,15,19,28,29
26,26,22,25,22,27,23,26,35,33,34,30,22,12,13,21,30,31,6,7,19,16,20,28
35,23,13,15,15,13,11,17,20,29,29,33,28,21,30,40,42,38,41,29,18,18,25,31
39,25,30,25,29,37,44,31,26,22,27,29,28,24,27,27,32,17,21,41,43,32,34,10
0,NULL,NULL,NULL,NULL,NULL,8,15,17,17,29,34,32,32,28,35,52,3,1,13,35,31,35,34
26,28,24,3,10,16,12,16,10,15,17,17,28,24,16,27,18,22,16,21,12,19,19,23
19,37,24,19,14,17,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2,10,15,29,6,12,12,9,23,32,35,25,24,18,30,36,9,3,15,19,22,32,30
24,16,18,20,19,21,30,30,30,35,23,32,34,31,17,25,32,37,16,16,23,22,22,23
20,12,27,24,15,21,18,15,19,24,37,34,38,28,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,6
9,5,9,11,4,6,15,20,18,15,29,21,19,21,26,23,42,27,2,16,14,9,13,16
22,22,21,17,12,17,18,12,16,5,20,25,28,31,16,18,40,6,0,6,11,10,13,20
21,19,24,24,24,27,27,27,29,18,24,28,21,15,17,22,17,18,36,44,19,7,17,3
