1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
57,98,69,62,76,56,48,36,18,9,13,8,7,15,10,9,7,8,24,12,13,15,10,7
11,32,15,8,8,13,16,16,16,16,7,9,23,8,5,10,12,32,17,16,8,12,7,20
13,18,19,17,20,21,22,23,30,18,13,13,14,33,16,15,13,19,30,19,13,18,5,14
13,40,22,12,13,15,15,21,26,9,14,9,16,13,3,8,14,23,17,26,27,13,20,24
22,40,19,13,15,13,14,23,13,14,21,19,9,12,15,17,21,25,24,16,16,19,13,19
24,44,18,2,14,17,7,16,15,23,5,12,18,12,16,14,9,10,13,14,7,10,10,7
7,30,12,8,7,4,7,11,3,5,3,11,6,15,10,17,34,17,2,5,14,10,11,17
17,47,18,14,6,18,17,16,22,1,8,10,12,7,4,20,32,10,10,24,28,18,26,24
22,29,17,17,8,7,11,12,10,10,12,12,11,14,17,19,17,20,28,23,27,28,5,3
3,21,5,3,4,4,7,4,10,4,15,12,12,21,8,18,14,11,14,12,15,17,29,24
26,19,12,16,17,14,6,20,22,14,15,9,15,18,25,28,25,16,19,6,15,3,2,9
5,27,17,11,11,17,20,21,22,8,6,2,20,12,0,2,8,10,9,15,6,0,8,8
5,1,5,5,5,11,2,9,14,7,2,9,8,12,18,11,10,11,14,15,20,39,36,18
29,34,17,6,10,9,15,25,24,14,16,14,21,17,20,25,25,36,33,26,23,11,19,11
15,64,22,12,10,21,23,20,24,12,23,27,29,26,22,19,27,28,20,18,23,14,17,18
11,40,17,0,16,6,9,7,6,6,2,17,15,12,10,10,16,16,13,29,23,15,10,4
14,40,5,16,10,4,4,5,8,2,5,9,10,16,5,0,11,7,18,20,17,8,11,12
8,31,14,7,4,0,8,5,9,11,21,4,16,3,9,10,6,7,8,11,10,13,15,15
16,59,17,5,3,2,6,13,12,15,14,32,32,16,7,17,3,9,1,9,3,4,9,9
14,39,21,10,4,8,11,7,9,12,4,9,8,14,13,8,3,13,12,16,9,13,12,12
15,43,24,13,4,11,13,17,23,14,7,11,18,18,10,9,11,4,3,6,6,17,13,10
14,16,14,13,2,8,10,12,9,23,10,4,9,14,17,16,8,3,3,3,20,20,23,23
11,30,10,6,14,11,15,13,23,16,25,18,11,17,11,1,10,17,20,19,26,24,25,12
22,42,22,17,16,18,18,36,22,20,80,65,11,17,6,9,16,12,24,8,26,26,18,17
21,39,18,9,11,6,8,11,16,5,8,12,11,9,6,6,8,8,8,19,11,13,9,18
13,44,27,11,7,11,8,16,11,13,17,13,10,21,8,9,5,7,7,21,17,9,18,21
19,50,23,13,19,22,19,31,19,15,13,20,7,13,24,17,8,11,11,14,9,1,11,12
8,32,20,8,10,12,14,19,16,9,7,13,10,19,24,26,28,27,26,10,14,9,15,11
11,39,25,18,17,18,21,25,18,9,10,16,18,17,28,34,47,28,36,27,30,28,30,25
26,49,33,15,26,29,22,22,24,21,18,13,24,27,31,24,26,33,16,20,31,31,26,17
12,28,19,17,16,15,24,25,22,18,12,16,25,12,17,17,42,21,28,23,28,24,15,2
12,29,11,6,11,21,19,18,26,22,16,21,21,17,25,27,32,24,27,15,12,14,15,22
14,34,21,14,13,11,21,15,16,16,11,14,15,20,11,11,11,16,11,16,17,14,11,14
14,27,19,10,7,10,3,8,12,3,13,10,4,1,17,14,17,13,7,12,19,19,13,10
15,32,17,17,8,5,13,12,14,2,16,8,10,21,4,6,2,12,8,12,15,3,19,16
10,21,14,22,22,18,10,28,25,11,10,6,12,25,9,11,6,9,13,25,32,36,29,43
31,29,19,21,15,20,21,18,15,11,22,19,26,18,19,21,32,17,16,23,6,4,17,9
5,36,20,21,21,18,14,27,26,21,18,12,13,14,12,13,13,7,12,13,21,13,13,21
