1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
37,44,39,25,17,7,10,11,13,8,4,8,11,8,8,9,11,11,17,12,9,12,14,11
14,17,18,14,12,8,11,16,17,16,14,12,12,14,10,18,3,6,6,1,2,1,6,6
5,4,5,12,9,7,6,5,8,11,3,5,17,15,7,6,7,7,3,2,5,5,8,6
2,5,4,5,11,10,19,17,18,24,17,25,32,32,26,22,35,32,25,18,15,15,22,18
17,13,14,13,15,14,21,17,24,30,29,26,25,28,34,32,33,44,41,37,26,23,25,22
33,29,25,23,15,16,23,25,33,46,41,42,31,28,28,29,28,33,46,47,39,35,48,54
51,44,31,22,26,25,28,25,37,42,51,47,50,39,36,44,35,36,30,37,26,32,30,33
41,47,51,36,40,39,61,79,63,64,52,56,44,54,36,37,66,65,40,23,15,13,19,44
58,46,34,34,36,33,41,48,55,54,39,16,20,16,15,16,10,15,10,12,15,11,16,16
15,18,10,12,12,13,17,20,20,12,4,14,5,16,17,11,3,9,14,15,20,29,32,12
11,14,10,8,11,16,20,23,19,15,20,36,34,26,33,39,30,25,21,16,17,15,41,36
26,19,14,13,15,32,26,26,25,27,39,46,43,32,27,24,21,11,6,14,9,13,27,24
25,16,14,17,26,25,26,31,33,38,44,44,48,48,34,14,21,23,22,9,6,11,13,20
14,7,7,8,16,24,25,19,20,16,17,17,15,15,7,11,12,6,8,4,7,8,7,5
6,6,1,3,8,6,7,10,6,8,15,22,21,18,22,17,8,5,7,3,9,9,8,2
10,14,4,1,9,10,12,10,16,12,14,21,26,24,21,20,18,13,10,12,10,18,21,18
19,20,16,16,14,13,13,9,15,15,16,17,6,13,24,21,26,27,21,18,17,22,23,18
26,20,15,12,13,15,15,15,25,25,17,20,25,28,26,22,22,25,22,16,9,16,12,9
9,8,5,10,6,8,12,13,15,13,14,18,19,23,24,24,21,11,11,8,15,9,10,10
5,10,12,12,10,12,10,12,17,17,19,22,17,22,20,14,12,9,8,5,2,12,12,13
15,9,12,10,9,11,19,15,21,16,22,19,21,21,24,23,18,15,16,12,11,23,18,11
15,13,13,12,13,11,12,18,29,22,23,18,27,25,37,32,28,22,19,19,20,22,23,17
20,18,18,16,14,15,15,14,13,18,16,18,32,30,25,33,35,38,35,25,17,21,18,12
20,17,15,17,10,15,17,27,26,15,20,27,37,17,17,25,40,15,17,24,35,38,26,24
31,25,20,25,33,35,33,50,49,42,34,25,24,31,30,25,31,30,27,21,21,25,24,24
18,23,25,15,21,24,29,26,25,31,51,42,48,42,29,33,30,35,23,22,27,33,35,33
29,27,28,34,39,58,52,37,20,35,51,54,57,59,52,55,20,6,22,16,15,11,9,6
16,12,10,11,14,16,19,22,18,22,16,22,31,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,1,0,5,6,7,17,17,39,36,31,25,16,18,22,20,14,12,12,19,22,18
16,15,22,17,13,21,27,28,27,27,26,29,20,20,23,22,24,27,24,28,23,42,44,39
37,28,21,15,12,11,16,17,17,18,13,13,17,18,17,7,8,19,21,16,21,36,28,43
60,58,52,53,53,69,55,65,65,61,54,51,39,30,23,28,33,38,35,33,26,55,58,56
54,49,43,30,28,22,27,28,23,26,36,54,48,47,53,55,36,42,25,20,25,26,22,26
31,25,27,21,18,17,24,35,33,39,45,52,49,46,47,63,55,54,50,36,33,26,17,11
18,24,22,21,19,25,31,37,40,38,37,29,30,18,22,29,32,30,46,48,47,51,50,47
54,65,59,40,38,33,31,34,56,67,53,53,62,46,33,30,39,34,25,27,35,36,27,28
30,32,31,16,13,20,18,25,21,14,18,16,14,19,20,22,17,12,17,14,17,11,19,20
35,35,24,24,20,19,20,21,18,21,25,23,30,30,14,9,24,31,26,14,21,22,17,15
19,21,13,11,18,27,22,23,19,14,24,26,18,16,12,5,11,9,21,17,16,25,20,31
38,41,38,22,24,19,19,19,7,17,19,20,19,17,17,11,12,14,9,13,32,36,44,44
43,44,41,44,44,42,42,37,30,43,45,45,40,28,27,36,35,20,22,22,26,16,13,9
3,6,19,23,19,19,21,23,20,19,0,8,38,29,19,17,13,4,5,12,22,17,10,14
12,18,10,15,19,18,23,24,20,30,23,28,27,26,32,42,37,33,25,25,29,25,20,16
19,21,17,15,19,21,20,23,17,27,24,32,40,31,31,25,27,38,38,33,46,36,35,31
31,27,31,34,32,42,47,48,40,36,29,31,27,26,28,25,26,26,16,19,30,35,35,28
31,26,31,49,49,53,62,56,63,77,76,67,74,55,56,57,18,27,40,37,43,26,23,23
25,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,16,19,15,13,17,12,0,8,10,10,16,35,40
24,23,14,18,34,42,34,30,31,32,42,44,41,28,22,47,36,19,18,26,27,27,37,59
43,27,25,22,28,37,28,30,24,31,37,40,41,41,35,38,31,1,8,19,25,31,48,53
53,63,67,68,72,81,77,71,61,58,50,47,52,49,36,35,27,0,6,23,33,45,47,41
22,26,22,21,39,40,36,38,38,35,24,22,35,63,38,42,17,6,22,18,4,21,25,36
46,22,6,9,22,25,15,12,15,18,13,21,19,18,18,4,0,9,15,15,14,6,14,12
13,16,19,32,32,22,21,26,32,39,42,43,37,31,29,24,26,29,31,31,23,24,32,40
33,32,31,40,31,23,26,35,30,36,50,44,41,34,34,16,18,16,20,16,13,26,41,45
35,36,36,52,46,38,47,47,36,44,50,66,50,31,28,22,26,28,19,25,25,25,32,28
24,25,21,36,42,36,32,37,35,42,63,66,48,31,30,19,12,18,21,30,33,39,61,59
44,31,25,37,41,40,27,29,36,52,56,56,45,41,28,15,20,30,27,29,22,28,38,36
28,18,20,30,25,26,26,28,34,24,20,19,22,12,15,14,11,19,25,22,20,27,27,32
29,23,20,25,13,7,8,15,11,13,19,16,14,18,10,0,1,3,10,14,10,13,18,23
15,4,4,15,9,5,5,4,18,16,20,16,16,12,12,4,22,26,20,19,16,14,9,23
17,16,18,18,15,12,9,8,13,14,19,18,15,16,16,9,12,14,21,14,11,12,13,3
11,13,23,17,21,16,14,14,21,25,26,34,41,46,29,33,51,29,12,9,21,27,33,52
37,17,28,41,40,44,37,32,19,37,40,19,2,22,26,36,40,33,30,21,17,14,22,22
22,12,24,29,28,34,29,34,29,34,33,38,3,0,9,39,39,28,27,20,29,30,33,32
26,15,2,5,6,16,22,26,26,24,28,21,18,17,30,27,16,17,18,16,36,47,50,39
25,30,20,25,30,32,29,30,27,22,13,16,20,10,27,18,15,33,35,22,40,37,27,27
23,27,21,17,37,46,62,50,41,45,42,40,25,22,40,39,27,20,19,31,19,6,10,17
23,24,12,14,20,25,30,32,31,32,32,52,67,18,0,28,48,44,40,36,31,23,28,23
20,20,18,17,24,27,25,24,27,39,51,32,40,45,46,41,44,34,44,26,16,25,42,52
74,67,39,26,30,33,32,37,36,34,45,47,43,47,53,47,42,43,37,24,17,9,6,17
12,8,5,16,26,34,22,20,24,24,33,37,31,34,43,29,35,32,20,24,25,29,31,33
27,30,20,27,28,34,41,49,31,11,2,7,12,24,28,27,11,17,11,11,17,12,2,7
15,6,7,11,9,12,14,14,11,15,13,4,14,21,26,26,21,14,5,8,10,8,9,9
8,9,0,3,11,5,11,10,14,23,40,32,29,31,37,30,21,14,8,14,19,13,11,8
18,10,5,9,14,21,19,16,24,40,40,45,45,42,40,39,49,41,26,20,17,17,15,12
15,10,9,13,10,11,14,21,20,31,35,24,17,25,23,22,24,18,14,9,8,7,21,13
8,8,9,11,13,11,13,16,18,26,34,38,42,37,34,33,33,25,23,20,15,19,23,22
18,16,14,18,18,25,17,20,24,32,44,46,35,31,27,26,44,48,45,33,23,15,17,24
29,18,18,26,33,35,45,56,57,44,36,29,33,15,19,22,14,33,44,30,24,19,24,19
12,14,27,22,27,24,28,28,22,11,17,19,20,25,16,23,31,21,14,15,20,23,19,15
15,15,14,15,17,19,20,24,26,36,48,56,49,47,66,74,82,68,37,44,50,42,45,58
54,50,62,69,59,56,51,47,37,43,65,47,42,49,52,62,64,40,36,28,24,29,38,42
36,33,34,35,42,49,56,55,51,33,33,26,38,44,33,26,38,38,18,15,12,11,11,11
23,19,13,15,17,22,14,14,25,33,29,33,51,47,34,24,27,27,21,20,16,14,16,11
10,11,10,17,15,17,21,18,15,17,19,21,23,21,23,17,15,15,10,16,9,8,12,11
9,9,9,13,13,24,23,30,19,23,16,22,23,17,16,17,12,24,22,12,20,22,21,8
10,8,4,3,3,4,11,11,14,16,16,27,24,21,19,18,18,14,14,25,29,18,26,36
29,26,24,21,31,31,50,49,42,41,49,48,43,47,55,36,25,26,31,30,28,27,33,31
30,9,7,24,45,65,20,13,31,40,40,45,52,44,43,37,39,37,34,30,33,27,32,28
27,30,22,15,16,18,16,17,35,41,45,43,57,49,42,51,38,34,24,15,17,29,25,25
19,25,27,35,46,50,43,37,45,40,46,52,28,20,36,46,57,48,38,37,35,33,32,44
40,47,64,47,36,27,37,33,31,30,35,40,42,38,29,26,28,27,23,20,17,14,23,29
13,12,20,25,20,23,21,27,41,52,47,54,53,42,36,29,30,35,34,43,38,36,39,44
41,28,29,30,29,28,34,40,33,29,24,16,22,15,22,15,17,29,24,30,32,32,35,34
35,34,34,46,34,35,32,30,39,34,36,29,39,34,27,33,37,42,35,27,20,21,18,22
15,10,17,12,15,16,18,19,24,34,36,28,41,40,35,28,48,30,28,24,26,20,18,23
12,9,13,20,32,35,28,25,22,42,55,66,53,32,31,46,73,74,54,65,70,62,58,62
57,73,70,89,99,96,73,71,68,52,57,58,57,37,42,27,22,25,32,31,29,36,35,42
59,85,76,82,77,47,30,34,41,44,43,50,51,48,37,31,33,29,35,40,46,53,67,72
80,71,55,51,51,56,54,47,37,39,43,36,21,18,16,17,17,26,66,76,66,59,55,66
66,57,72,82,67,48,33,33,39,43,42,34,8,24,44,44,40,35,27,30,28,32,34,33
4,18,37,27,28,28,30,34,39,49,50,61,49,48,66,67,63,58,45,40,40,27,21,17
1,29,36,35,25,23,29,40,44,52,58,62,61,42,37,40,68,74,67,52,36,20,18,22
18,18,20,19,25,26,29,35,39,50,55,68,54,39,39,35,40,64,70,56,50,50,50,45
53,44,55,47,57,54,52,72,64,52,50,59,46,46,47,50,48,43,45,45,49,53,59,43
56,58,77,99,103,101,106,108,101,67,52,32,30,45,52,53,43,57,79,78,69,60,54,59
49,49,51,35,36,38,44,47,51,66,54,41,22,22,28,34,32,32,50,52,44,55,63,33
46,65,70,64,64,68,65,54,52,51,40,25,23,20,25,26,32,35,37,53,64,79,73,63
93,83,72,73,69,63,70,70,58,60,63,67,49,37,33,40,38,39,52,47,39,21,33,43
38,26,28,34,43,64,73,72,65,60,54,54,43,38,40,55,48,42,45,68,67,61,73,64
96,88,84,71,74,87,81,81,70,70,55,52,48,42,36,42,45,57,53,36,32,40,52,59
72,63,51,54,60,56,46,39,35,30,42,52,42,23,15,16,24,33,51,63,71,77,65,72
77,78,69,73,69,76,85,91,71,64,13,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,14,15,32,36,36,43,49,51,45,38,51,30,22,27,28,29,38,47,60,75,64,82,90
98,96,81,63,57,64,53,45,46,32,24,35,28,19,23,27,26,29,38,47,57,61,70,72
66,81,98,61,45,37,39,46,34,39,52,39,48,59,55,50,60,60,67,67,78,107,110,91
64,54,42,39,40,47,58,76,50,36,53,66,58,56,58,49,53,44,24,22,24,15,21,21
17,13,10,14,16,18,19,19,8,24,31,20,23,24,26,26,29,32,25,19,18,17,27,40
24,12,7,1,2,1,10,9,17,22,24,40,33,43,38,38,40,39,27,25,24,16,9,16
11,13,11,13,12,7,14,17,19,22,17,22,21,29,34,42,43,47,37,33,34,28,25,33
19,21,15,15,14,15,22,27,37,39,34,38,32,23,33,27,30,30,19,20,22,22,20,26
22,14,12,16,7,5,14,8,13,19,12,14,14,12,8,13,15,20,20,16,20,17,11,4
17,23,20,15,23,43,31,30,30,41,47,27,36,32,30,30,33,45,46,47,36,31,28,13
24,22,17,17,20,27,21,33,31,41,47,51,59,55,39,36,44,48,49,48,42,38,39,33
44,50,59,66,58,63,76,75,72,62,49,50,45,38,31,39,40,38,25,23,25,21,20,23
39,39,38,36,20,30,35,35,46,42,44,45,38,39,34,25,40,39,32,47,45,41,32,38
31,30,23,23,22,20,32,34,39,37,52,50,54,56,46,50,57,43,41,52,56,49,55,67
75,64,63,61,52,52,57,52,58,63,60,61,73,66,71,56,53,49,36,33,25,20,21,30
33,32,45,35,30,30,29,30,25,25,17,12,19,23,21,22,23,22,24,26,24,23,30,20
