1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
112,114,62,30,15,19,16,14,14,3,1,2,2,1,6,9,3,2,8,21,18,19,16,17
18,18,15,13,14,11,15,1,11,11,4,7,4,13,5,7,5,12,13,22,9,14,12,12
11,10,7,13,7,11,9,11,5,6,6,9,1,12,9,5,8,8,12,7,10,16,13,12
15,14,15,17,15,11,16,16,13,10,1,5,14,10,11,8,21,23,24,43,38,32,25,24
16,20,17,12,18,17,22,23,28,10,7,8,18,16,29,53,24,28,33,26,30,30,24,24
31,42,37,31,38,38,30,21,18,10,11,5,0,9,2,8,19,21,16,40,37,37,26,21
27,22,19,21,19,20,15,12,12,14,14,13,14,10,17,0,7,10,10,8,12,9,8,4
9,8,1,8,6,6,10,5,8,3,9,5,7,12,8,13,7,11,2,3,2,3,7,4
2,3,3,3,10,11,10,16,24,19,14,16,15,24,22,30,33,46,22,16,16,21,15,14
28,15,22,15,16,20,18,22,20,20,11,19,25,19,33,35,28,4,20,32,27,31,26,19
15,20,23,17,20,19,22,24,29,27,15,10,17,13,10,20,30,22,18,11,11,12,18,20
8,12,12,12,11,11,15,20,17,13,15,7,14,14,12,13,10,20,19,23,25,20,23,27
12,8,11,4,15,9,11,15,14,14,16,7,15,11,1,4,12,24,22,5,16,23,25,31
15,13,15,15,7,12,13,16,18,10,3,1,2,5,9,21,38,20,3,35,106,50,20,12
13,9,10,8,8,8,14,7,10,6,4,5,8,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,3,3,4,6,11,12,13,7,8,3,24,33,32,21,10,21,17,1,7
12,15,17,18,18,21,21,28,37,NULL,4,0,0,0,0,1,3,1,26,0,15,30,47,32
36,43,50,34,38,34,16,10,33,38,16,39,46,38,40,34,31,35,23,17,16,22,8,6
10,7,6,13,12,17,19,15,17,17,28,21,27,30,19,19,27,22,20,14,8,12,11,13
18,15,18,22,4,14,9,11,14,5,15,16,26,30,34,53,27,12,13,11,10,18,22,18
12,9,17,18,27,16,18,25,20,21,10,23,20,28,18,21,40,28,23,27,22,24,26,24
15,10,10,15,14,19,17,19,28,23,16,26,23,37,31,23,16,33,1,14,6,16,18,14
10,11,11,7,11,13,30,29,29,30,17,18,33,39,23,21,30,26,10,23,10,16,25,21
10,6,12,7,8,6,12,9,19,30,23,34,43,41,20,20,29,8,5,8,14,35,18,21
22,16,17,10,11,13,11,10,9,5,14,18,15,17,39,30,12,11,9,7,3,6,11,7
9,8,8,10,15,6,5,13,4,9,2,6,4,4,13,19,20,21,19,13,0,3,6,9
19,16,21,13,14,18,15,19,18,13,15,18,15,23,25,32,27,43,61,59,22,14,12,2
8,12,3,NULL,7,5,10,4,8,10,6,17,16,22,21,29,41,5,22,13,16,21,19,22
8,12,14,15,20,28,29,31,23,33,32,34,17,12,7,23,7,22,21,8,5,2,4,1
6,7,7,12,9,14,11,10,6,6,3,6,7,7,8,11,2,2,3,9,12,13,8,15
8,7,11,10,8,9,10,7,10,6,6,11,12,11,5,28,26,37,28,21,18,10,4,3
4,5,6,8,6,7,10,9,10,6,6,6,11,8,12,13,13,5,13,21,10,9,6,7
8,5,7,8,5,6,7,2,9,12,9,14,17,23,18,23,20,14,11,20,11,13,4,9
6,7,7,4,5,7,3,8,10,10,3,17,4,15,14,10,12,8,2,6,13,12,10,9
13,11,10,12,12,14,9,17,9,5,13,11,13,23,20,29,18,8,20,12,7,7,12,11
9,11,12,7,11,8,12,9,7,6,5,7,16,15,19,15,6,13,17,5,12,6,4,5
4,7,8,2,5,8,9,5,6,4,6,9,16,20,5,3,12,16,7,6,0,4,4,7
6,8,8,11,5,8,16,15,22,12,7,4,11,7,16,23,19,25,13,25,23,7,7,9
1,8,12,11,6,14,20,26,43,42,16,23,37,44,27,27,38,38,6,29,26,22,23,28
30,34,36,29,37,29,26,42,43,42,29,38,38,42,29,28,33,59,24,20,14,24,25,31
29,28,21,18,19,29,30,38,34,35,27,25,36,50,34,22,17,17,2,6,18,14,17,19
20,25,18,15,16,18,18,30,20,22,11,18,27,36,26,9,25,17,9,13,21,33,22,12
