1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
43,61,72,101,99,88,27,6,12,10,13,12,8,15,10,10,17,24,25,21,1,9,8,11
8,17,5,16,8,8,13,25,78,27,3,17,28,27,23,3,11,29,4,17,6,2,6,4
3,7,2,4,1,3,5,2,3,4,62,23,0,5,2,7,3,6,5,5,11,6,6,9
8,8,8,10,8,6,8,6,10,16,12,12,12,20,6,13,7,0,5,1,6,3,6,4
13,14,10,8,5,17,13,15,15,14,20,12,10,10,17,13,22,11,3,6,6,13,18,10
1,6,13,8,12,12,16,20,11,15,14,16,13,13,16,9,17,8,14,19,13,20,19,21
19,21,15,13,11,12,19,17,15,24,21,22,16,18,20,19,14,20,18,14,23,26,6,11
14,15,8,6,10,7,13,16,18,14,22,19,19,18,18,8,26,19,9,8,11,12,18,9
3,6,5,3,4,9,12,16,18,19,19,19,17,20,15,17,17,20,18,5,12,19,31,23
20,25,15,19,14,17,12,18,14,22,16,23,16,19,17,14,18,14,18,19,16,21,11,16
24,39,33,31,25,30,25,24,22,27,18,13,17,12,12,14,31,15,5,15,18,14,13,18
21,20,19,18,13,13,16,18,18,17,17,17,26,20,NULL,NULL,NULL,4,3,6,3,3,5,8
5,6,12,4,11,5,9,9,17,15,18,18,30,19,12,12,16,4,7,1,7,9,17,11
17,15,15,20,17,15,14,16,17,19,23,20,24,24,30,26,31,30,29,24,18,20,14,11
10,14,20,25,22,19,22,23,29,31,32,31,29,15,24,30,35,31,28,27,32,53,48,46
63,83,79,75,69,57,55,44,36,35,26,22,21,33,7,14,39,0,4,14,14,12,12,2
3,1,4,1,4,4,7,9,8,5,6,6,9,3,8,5,0,0,0,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,34,30,34,35,32,29,19,16,14,13,11,11,9
11,8,9,9,10,9,15,15,12,3,1,0,0,4,8,18,26,17,21,16,7,13,5,7
6,3,11,10,12,9,10,16,18,18,25,24,23,32,26,27,21,18,12,12,11,8,6,10
10,13,14,16,8,12,13,16,27,17,23,25,27,25,41,36,24,26,18,18,15,7,11,14
12,13,9,11,10,17,13,17,20,22,25,26,27,28,34,27,20,9,10,10,10,5,9,9
3,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,18,22,26,20,17,12,14,7,7,13,14,7,15
10,23,19,11,12,9,7,4,6,7,11,6,12,11,13,3,6,3,7,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,10,10,11,NULL,13,13,14,22,10,16,19,17,26,26
26,31,36,29,24,21,27,30,27,21,18,18,14,14,16,19,13,11,10,15,14,14,15,14
17,17,26,31,27,27,30,32,NULL,33,32,24,25,22,26,25,NULL,33,23,15,17,19,25,27
29,34,31,27,41,40,29,36,44,37,29,25,22,26,63,40,20,20,29,32,25,30,26,27
33,41,31,23,21,23,22,27,28,14,16,9,13,13,12,18,16,20,20,20,31,11,11,12
9,9,11,7,7,11,7,13,10,15,17,12,16,18,22,23,16,29,14,9,10,12,10,4
15,16,7,8,11,7,17,18,20,18,17,17,14,11,13,11,20,11,14,20,12,16,35,25
11,10,12,4,9,14,12,15,17,17,23,17,13,13,12,21,17,8,5,7,8,2,5,8
16,17,8,13,9,12,13,16,20,16,17,17,16,27,21,32,21,9,12,14,5,5,3,4
3,1,9,5,7,6,13,19,12,11,25,4,18,14,14,6,5,0,1,4,3,2,4,8
NULL,6,5,9,NULL,NULL,NULL,8,8,14,14,18,22,26,12,15,8,2,6,3,8,7,11,4
8,9,8,5,6,5,8,10,17,25,28,15,13,16,21,8,19,18,19,19,17,25,25,13
NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,28,22,19,NULL,21,28,15,28,35,11,13,16,20,25,26,25
20,15,9,13,14,10,7,10,14,19,16,9,10,12,9,15,13,14,18,18,17,25,14,18
14,20,15,10,11,17,10,20,18,13,11,6,11,10,10,7,16,15,16,9,7,13,14,20
30,38,18,9,8,10,9,9,4,9,6,5,8,12,4,11,10,30,7,8,5,9,9,2
11,14,5,2,1,3,1,4,8,0,1,5,9,8,5,10,3,4,5,3,3,4,4,3
2,3,2,4,3,3,3,7,9,8,10,10,11,9,7,12,15,17,15,12,7,14,12,14
8,11,16,10,12,12,13,12,11,6,10,5,14,10,11,10,7,11,NULL,NULL,3,7,5,10
6,3,7,5,7,8,2,4,9,7,9,9,9,10,9,11,6,7,6,3,5,5,10,7
3,8,4,9,4,13,12,15,16,22,24,24,24,31,31,35,28,22,16,15,19,14,12,11
16,NULL,15,14,18,14,16,13,19,21,19,21,18,13,14,12,13,28,13,26,23,31,34,36
33,35,27,31,32,25,38,20,25,18,20,14,14,16,29,59,40,25,14,18,15,39,37,18
18,22,18,16,16,20,24,20,39,33,23,27,26,15,13,19,43,21,24,30,38,46,44,42
29,26,19,22,21,20,12,12,17,20,17,25,21,19,22,20,23,24,26,36,4,11,17,20
22,25,23,22,18,13,14,19,17,20,6,NULL,3,9,23,21,31,21,8,19,6,11,16,29
40,39,34,24,23,24,24,25,26,21,26,21,21,29,15,21,22,13,29,13,10,21,14,13
14,12,16,10,10,12,10,15,9,7,8,13,10,12,13,23,20,16,22,12,10,14,22,19
21,23,22,25,23,27,28,7,3,2,2,4,4,3,7,11,8,0,4,4,4,4,NULL,6
8,18,18,14,14,14,20,18,18,15,21,16,16,20,26,26,21,18,16,12,10,16,15,12
16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,29,27,26,27,38,38,43,38,7,8,8,16,9,12
18,27,18,22,15,12,7,8,8,12,11,7,10,11,14,19,13,32,18,2,8,10,12,6
14,12,11,6,6,8,15,10,16,16,NULL,17,14,11,11,7,10,13,15,13,10,11,6,3
1,0,3,3,7,2,3,4,6,7,NULL,17,21,16,20,21,20,14,7,8,6,10,15,16
17,18,17,15,14,13,18,21,21,20,19,19,20,25,18,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,12,7,8,10,5,10,8,5,5,1,7,1
3,3,4,1,3,6,3,4,3,6,9,6,10,7,12,11,7,7,7,3,7,9,7,5
9,9,8,13,7,7,7,10,19,15,16,20,21,21,16,19,21,12,20,14,15,NULL,NULL,16
15,22,21,21,23,21,18,15,18,18,16,21,15,13,16,16,15,12,11,8,10,11,13,12
11,19,16,11,14,12,16,21,19,25,18,23,21,20,29,NULL,27,18,22,20,25,23,22,20
19,19,NULL,18,17,13,12,18,NULL,NULL,17,21,23,22,32,29,36,24,20,25,20,22,18,16
16,15,19,12,17,14,15,13,16,15,15,21,22,22,29,22,22,24,24,22,16,17,19,18
10,14,16,19,15,17,16,17,24,24,25,29,27,29,39,34,37,21,25,23,17,14,15,12
15,15,11,17,16,17,25,25,27,33,39,35,32,27,26,45,47,41,19,17,30,28,20,21
15,20,15,17,21,22,25,31,31,41,35,40,37,36,40,45,37,39,27,NULL,NULL,NULL,16,18
22,19,17,19,19,21,21,22,29,34,40,39,41,44,42,35,37,35,28,20,18,23,29,26
21,31,23,20,23,32,27,31,41,44,39,34,34,28,36,60,58,37,32,28,28,42,43,41
28,29,28,28,25,32,25,24,28,33,31,27,30,32,29,48,52,39,25,24,28,27,35,30
NULL,29,24,19,18,21,18,22,23,24,14,14,14,20,NULL,18,21,22,38,28,21,14,16,21
7,11,17,14,15,21,20,23,22,18,21,26,22,18,22,25,34,30,38,12,21,20,14,23
27,31,26,9,3,5,9,13,15,19,14,18,16,15,35,33,15,17,10,10,9,NULL,NULL,21
11,16,27,26,21,27,26,26,33,32,24,30,29,28,26,26,53,42,35,33,NULL,13,16,23
22,NULL,32,29,48,73,58,NULL,NULL,69,48,53,14,23,33,19,12,NULL,15,20,22,NULL,23,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,24,22,18,19,15,15,18,12,6,10,4,8,5,NULL,3
2,8,6,8,9,15,6,NULL,4,8,7,10,9,12,18,21,15,12,18,14,14,NULL,17,11
10,11,NULL,9,11,10,16,13,17,12,13,7,11,12,NULL,15,10,9,5,11,10,NULL,NULL,8
3,10,9,5,8,NULL,12,9,11,16,7,9,9,13,13,NULL,NULL,13,13,9,12,11,11,7
18,9,11,8,8,13,11,11,14,9,5,16,6,21,12,10,16,9,10,12,9,11,NULL,NULL
14,14,9,10,8,7,9,13,NULL,NULL,16,20,17,21,20,9,15,18,20,5,14,11,12,6
16,14,14,10,8,7,16,20,34,27,23,22,19,20,22,33,25,22,16,16,12,12,9,12
8,10,8,15,9,10,17,18,22,22,24,25,23,24,13,24,26,21,19,16,18,10,13,14
7,11,11,14,13,16,20,17,NULL,NULL,21,24,21,26,16,20,39,25,24,19,19,28,17,18
19,23,23,18,19,17,14,18,22,21,16,13,11,11,18,18,28,5,17,7,10,18,15,14
NULL,NULL,13,6,5,13,8,NULL,24,28,25,30,19,18,22,27,30,18,19,16,17,11,16,10
10,12,18,19,NULL,11,16,14,NULL,NULL,24,27,27,19,26,30,25,17,9,11,9,23,23,16
15,14,16,15,19,9,11,16,14,17,18,23,22,19,12,27,27,22,17,23,15,16,19,12
11,11,18,19,13,11,17,18,17,18,17,NULL,16,20,24,20,19,26,33,18,23,27,21,23
33,34,28,24,22,26,27,29,30,19,25,22,25,21,19,20,15,31,11,5,8,14,20,12
13,15,11,15,10,14,13,11,14,15,16,18,21,19,21,22,28,25,18,21,14,23,24,17
14,20,16,14,14,16,15,13,17,14,19,18,16,19,16,23,16,37,22,20,21,18,21,22
24,24,24,21,24,20,22,20,24,27,32,27,24,23,25,25,18,32,32,39,43,43,64,35
28,20,23,20,19,19,20,21,22,20,25,24,18,18,19,10,16,12,1,5,1,NULL,2,2
4,4,3,2,3,4,10,4,2,4,6,10,12,16,20,14,6,NULL,NULL,4,6,10,10,13
15,15,14,15,12,13,11,11,15,13,11,13,15,16,18,21,20,19,15,13,19,19,17,NULL
21,20,16,10,12,15,21,14,19,14,15,13,19,14,16,14,23,14,20,20,23,22,19,16
27,20,15,15,11,12,12,8,18,14,15,18,14,24,28,26,13,13,17,20,15,11,9,10
10,12,14,7,9,4,12,6,15,10,12,8,18,18,18,20,17,16,NULL,11,8,10,14,9
8,7,11,14,11,15,16,19,15,17,22,27,27,21,22,28,27,22,16,12,13,19,29,16
17,24,17,16,12,15,20,21,20,31,30,37,34,33,24,23,26,20,19,22,22,26,22,28
27,31,27,20,19,17,21,20,16,23,18,15,16,15,16,19,17,15,18,19,19,21,23,19
18,17,24,26,22,24,28,28,28,23,26,22,24,25,12,23,29,33,26,21,22,25,24,12
15,16,17,10,13,10,15,14,19,19,23,19,23,17,26,18,17,14,15,13,12,14,12,12
11,12,15,13,17,10,16,16,17,22,19,18,14,17,20,14,7,2,6,7,5,5,8,5
4,4,11,1,5,4,3,5,7,9,11,10,11,10,14,20,19,12,15,8,11,11,10,12
8,11,8,5,5,3,10,5,18,15,19,23,23,17,20,24,21,20,15,12,16,16,12,9
17,8,16,16,18,14,11,14,18,22,24,23,19,16,14,23,28,17,16,13,10,14,12,15
21,23,21,13,23,18,21,26,27,34,38,31,33,28,33,37,42,18,12,14,16,20,16,18
19,18,15,13,12,13,12,16,17,33,37,28,37,26,33,32,28,22,16,19,19,15,19,12
17,22,14,16,10,15,19,20,25,32,39,39,NULL,NULL,34,36,37,30,34,25,28,24,23,26
21,23,25,24,32,26,31,31,27,33,28,32,34,23,22,30,25,34,35,34,31,34,41,48
45,44,39,35,38,37,35,37,39,39,33,23,25,21,26,27,28,25,16,16,25,24,8,16
13,19,17,13,13,12,11,19,18,22,18,27,21,19,30,25,26,20,21,17,14,19,18,23
13,12,9,13,8,14,12,15,18,16,23,25,26,20,12,17,23,24,29,13,14,12,16,21
24,31,33,29,24,28,25,26,24,28,16,12,24,23,23,20,19,23,22,31,47,42,39,47
55,78,94,86,90,55,43,37,36,31,29,30,36,28,37,33,36,35,45,39,42,53,56,59
57,83,90,76,86,61,37,32,38,37,22,30,30,27,28,26,30,50,25,25,26,36,39,43
73,86,82,79,75,70,60,59,49,50,45,37,39,42,30,22,18,8,8,10,3,9,12,12
10,15,15,11,12,15,11,13,16,13,9,8,17,13,8,12,12,10,12,10,12,10,9,10
10,13,10,7,9,8,8,7,19,20,20,28,23,22,29,46,37,31,21,26,23,28,24,31
20,34,30,31,31,35,38,39,35,39,38,37,32,37,44,41,30,36,30,47,48,36,36,33
31,39,38,41,47,44,45,36,45,52,35,38,36,36,33,50,40,26,24,19,20,15,6,1
5,10,5,3,9,4,5,8,9,14,15,20,16,19,12,17,17,11,14,10,13,10,10,11
13,9,8,9,7,8,5,3,7,9,14,8,10,11,13,14,13,13,14,12,12,8,9,9
21,22,17,18,14,9,10,12,10,19,13,NULL,NULL,NULL,NULL,10,16,20,19,21,15,16,17,22
21,27,15,15,14,11,15,16,17,15,6,16,16,17,18,21,15,21,21,30,26,17,24,30
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,56,41,34,39,47,50,50,50,49,62,61,50
42,33,34,33,28,22,24,26,32,27,26,29,31,18,11,8,5,2,3,2,1,5,3,3
0,1,2,1,2,2,5,4,3,7,10,11,8,10,15,16,16,16,14,22,16,21,15,15
16,15,20,15,25,13,16,18,19,17,7,20,21,17,12,14,10,14,15,16,13,14,14,24
26,42,54,41,25,31,37,42,54,42,13,16,17,12,19,10,17,13,38,30,35,28,27,36
33,32,42,36,34,33,42,50,35,34,41,47,51,35,26,31,31,43,37,28,30,21,23,25
16,22,19,17,16,14,17,23,24,33,31,35,38,30,25,34,39,27,22,23,22,22,19,22
17,25,77,60,24,22,22,23,23,25,26,27,28,15,16,11,13,30,41,40,29,27,24,28
25,25,16,22,16,19,24,26,37,37,27,30,26,20,22,19,30,27,32,25,42,71,82,70
49,50,37,27,24,22,19,23,23,19,21,28,26,28,25,33,30,33,38,33,36,35,27,23
24,26,19,31,40,23,15,10,9,13,11,14,12,16,11,12,10,9,8,4,2,7,7,6
5,8,5,7,4,5,5,6,5,8,2,8,3,14,6,5,8,10,11,11,17,13,19,10
5,11,4,7,7,5,7,5,8,10,9,15,8,10,14,18,14,18,19,15,13,13,12,13
13,8,8,10,10,NULL,16,10,21,18,15,16,17,18,24,22,24,23,26,29,28,24,33,23
16,19,22,20,19,19,24,22,25,29,22,31,25,22,22,21,25,28,29,19,16,21,15,12
13,16,13,12,18,18,16,20,22,20,18,23,32,30,35,35,27,26,19,20,22,22,27,24
27,34,34,25,23,28,30,36,37,38,40,47,50,40,48,41,39,42,51,62,58,52,54,59
57,73,96,92,87,82,79,80,68,64,66,41,22,15,34,36,31,35,37,49,58,64,60,56
47,49,72,59,55,64,61,43,38,28,29,33,28,23,27,24,27,28,36,48,52,43,49,49
