1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
43,82,68,52,34,19,14,20,20,8,13,12,10,14,15,31,47,35,31,27,20,34,25,20
21,25,18,15,18,14,18,13,27,12,13,7,9,13,7,16,17,29,39,16,15,22,32,25
20,11,25,12,16,9,14,16,16,20,17,19,8,15,17,25,27,10,30,30,21,8,16,3
11,9,7,16,18,16,9,20,18,11,13,10,22,23,36,9,16,23,36,10,2,11,16,20
10,15,13,14,14,2,11,17,13,11,15,9,13,4,5,15,10,10,12,17,14,17,3,12
12,13,7,9,7,15,14,21,16,3,5,13,12,14,8,6,1,14,34,31,25,7,7,18
8,14,14,21,20,14,15,12,25,9,15,11,14,5,10,15,18,19,20,30,24,19,23,24
22,31,32,31,35,31,20,19,22,15,16,22,15,16,23,21,40,22,15,19,18,26,35,22
42,21,21,19,30,16,15,17,17,124,26,46,67,28,27,44,42,40,42,59,43,38,48,45
45,26,19,28,35,29,25,29,23,8,21,28,24,31,20,26,33,24,43,52,33,45,53,13
13,16,16,15,34,28,30,14,15,25,31,47,35,37,30,68,27,18,16,25,23,32,29,41
65,51,48,37,27,29,29,25,26,19,23,27,27,39,24,33,27,24,27,31,25,24,29,29
44,37,41,26,28,20,31,23,21,15,22,25,21,10,15,48,52,28,34,45,37,39,25,31
33,24,22,20,47,36,33,37,35,37,31,12,26,27,20,30,45,32,28,27,32,49,59,42
33,39,39,29,29,34,36,42,30,23,14,26,23,24,19,30,20,38,38,58,25,17,31,25
19,22,26,33,32,33,27,34,39,32,31,31,34,29,26,29,34,19,22,20,12,8,17,8
7,8,19,14,16,14,20,29,19,26,26,42,25,26,27,25,33,48,30,13,14,34,35,40
37,35,39,20,21,17,24,15,28,14,15,27,28,33,26,27,53,16,10,17,22,25,22,14
11,26,23,21,14,25,18,14,23,12,19,23,26,12,18,24,26,27,43,55,23,16,18,26
20,11,16,12,6,14,14,6,12,8,10,7,16,18,45,40,29,22,15,10,18,8,15,7
6,11,19,10,16,13,22,18,10,21,20,19,19,12,14,18,21,27,32,74,11,18,33,35
35,13,22,25,37,32,40,27,42,44,26,39,23,38,48,45,35,8,15,17,15,19,16,19
22,42,16,11,18,14,26,25,28,44,38,38,26,24,35,44,45,44,34,33,26,24,41,27
23,27,33,37,21,27,33,43,25,14,25,34,38,38,35,35,36,7,15,22,31,24,28,24
39,31,22,24,21,27,20,23,19,17,21,17,25,16,18,21,36,15,1,11,5,18,16,18
27,20,22,18,19,8,15,17,17,9,24,23,9,10,15,20,11,25,35,11,23,15,18,29
34,9,17,16,27,13,14,16,16,5,7,8,7,11,12,9,12,14,20,35,36,25,26,21
18,24,39,49,38,38,49,40,38,15,27,9,12,11,12,8,14,12,46,64,44,41,40,26
19,20,22,24,23,21,25,38,32,11,30,29,29,30,33,57,22,28,28,35,42,44,49,47
63,57,54,50,32,37,63,58,76,62,59,33,50,33,15,18,34,22,12,19,43,36,53,52
45,61,72,69,69,73,70,67,60,50,56,33,33,36,18,26,35,20,27,27,21,25,26,36
59,50,46,46,58,51,46,57,34,34,22,30,29,15,20,13,39,41,49,42,43,41,40,42
25,49,50,44,45,29,53,30,28,30,35,40,33,24,20,20,29,58,50,29,42,38,53,49
41,21,18,24,15,21,16,17,21,15,20,20,19,12,20,31,23,26,26,18,4,17,4,6
22,16,24,6,4,17,5,14,16,10,7,11,13,11,15,12,12,19,14,15,11,19,23,14
16,22,17,16,26,20,19,16,30,23,31,24,19,18,29,17,35,16,19,13,13,20,13,13
30,24,18,9,7,12,18,19,10,17,17,16,18,12,8,20,19,7,13,12,22,13,12,10
2,24,16,12,16,13,11,8,19,19,13,18,22,33,28,26,29,25,26,18,15,18,23,24
21,16,15,15,24,35,30,31,24,37,60,51,38,19,24,18,42,32,26,31,22,33,35,24
30,21,30,19,18,21,18,20,16,22,31,21,25,24,9,28,36,38,30,33,31,24,18,21
17,23,19,25,23,19,14,20,18,13,25,22,16,19,14,12,19,18,46,35,37,20,16,25
25,9,19,17,18,19,14,26,23,22,24,29,23,25,28,21,28,32,26,26,31,42,21,28
