1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
27,30,18,13,16,13,11,10,14,20,18,4,10,10,10,12,15,7,13,14,17,15,10,9
16,36,4,8,7,11,22,6,9,8,5,13,15,20,9,10,7,5,13,7,21,3,7,12
9,34,12,3,5,6,8,11,11,5,4,8,5,4,3,12,2,1,7,12,3,5,10,10
5,33,19,14,11,9,16,17,22,11,13,11,7,11,20,15,19,19,29,32,26,27,8,6
24,41,19,15,13,17,19,15,10,8,15,20,13,19,21,26,35,20,25,20,24,18,16,25
36,48,23,21,21,17,15,26,24,14,9,6,13,1,9,10,15,17,13,27,24,37,34,27
23,45,16,22,12,12,15,14,15,10,19,9,19,11,4,3,9,6,5,2,11,9,7,6
15,39,11,0,8,6,10,9,10,11,7,4,4,9,12,27,81,43,60,4,30,25,10,0
9,15,1,4,3,22,13,25,24,10,6,52,64,28,20,35,38,32,30,28,17,12,17,21
18,18,11,17,18,20,19,21,24,16,19,26,25,24,17,29,53,121,29,28,28,14,15,24
22,45,24,26,16,21,28,25,30,24,22,21,11,21,20,17,25,20,21,7,19,10,14,19
13,34,9,6,4,10,4,13,6,10,18,19,15,15,14,12,15,14,12,18,25,21,18,16
17,41,4,3,5,7,8,10,10,11,11,7,13,5,5,6,3,12,11,8,14,10,17,31
17,24,8,9,2,10,5,8,5,12,12,3,4,3,16,5,18,19,14,5,14,7,15,10
17,39,5,7,4,3,3,9,4,12,8,6,5,6,17,16,14,8,13,11,15,9,8,20
14,42,3,2,7,5,5,12,6,5,8,10,10,20,13,12,9,14,16,33,29,26,19,11
21,49,8,1,13,21,15,21,22,24,25,29,19,28,24,30,27,27,18,32,38,48,45,32
37,45,34,35,41,30,42,33,29,29,23,14,31,17,14,20,18,18,26,19,20,29,31,7
7,25,7,11,9,11,5,15,16,7,17,13,19,16,26,18,17,13,17,12,20,23,11,18
21,40,23,30,26,14,24,22,21,11,13,17,20,12,25,41,39,30,9,17,19,17,8,11
18,44,15,20,20,12,17,21,30,19,20,12,17,19,13,21,44,35,29,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,32,15,19,26,13,16,25,14,21,36,35,25,22
15,12,14,8,7,14,8,12,18,10,20,17,18,22,18,12,14,18,17,21,22,29,30,16
25,32,16,17,5,18,12,9,16,7,10,7,12,13,15,12,15,19,12,14,11,15,15,16
17,56,17,6,15,2,2,12,4,11,4,3,8,14,6,9,7,23,23,20,2,10,5,15
26,46,18,17,18,15,18,10,17,12,19,10,12,24,16,22,21,19,15,21,16,12,8,8
15,49,10,8,9,5,9,7,7,10,1,8,1,4,18,17,31,35,27,17,27,21,28,35
23,24,5,19,9,19,35,27,32,31,28,17,20,12,13,12,15,19,19,15,11,4,12,7
17,50,9,11,7,9,16,17,5,8,1,10,1,6,6,3,10,2,10,7,10,8,6,5
12,26,3,12,6,9,8,7,16,9,7,3,9,13,12,4,9,12,4,21,18,12,9,8
7,54,13,5,6,5,11,7,13,13,15,4,2,9,14,10,9,11,15,16,12,9,7,9
15,50,3,7,1,7,9,14,10,15,11,16,8,13,16,14,15,16,13,24,19,7,10,10
7,29,10,5,5,1,11,3,12,10,6,1,10,10,3,7,8,10,10,5,18,94,28,13
7,24,11,12,8,4,14,18,15,9,12,10,15,25,22,23,32,33,20,22,14,14,6,13
14,33,12,8,10,10,9,11,13,3,13,13,9,13,14,18,8,7,16,16,12,10,1,1
