1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
48,84,129,66,47,39,29,24,25,20,10,15,13,11,11,14,10,11,9,15,18,28,29,24
21,17,23,17,20,19,19,24,22,18,19,24,23,21,25,27,27,23,15,11,5,13,19,13
12,17,18,16,20,20,29,28,34,22,32,49,59,50,38,30,29,29,22,21,19,27,19,15
16,16,23,28,31,29,34,36,25,37,39,36,39,31,31,33,30,26,25,3,14,35,49,44
32,29,23,23,36,41,34,39,40,34,30,37,28,28,29,35,36,28,24,18,24,40,48,36
15,11,20,31,32,34,34,35,35,49,49,40,30,29,38,39,32,33,25,18,5,14,8,7
4,1,5,8,13,14,12,18,23,15,25,27,23,31,27,22,18,6,9,5,10,18,25,29
35,28,18,16,19,18,23,22,25,17,17,17,17,19,17,18,16,21,19,22,22,26,30,29
32,35,36,29,23,30,30,32,26,28,37,44,40,33,30,39,33,33,31,27,26,19,16,15
11,11,13,9,13,23,22,19,24,26,41,34,42,29,26,22,20,20,19,18,17,26,21,18
18,31,25,18,17,33,35,33,33,29,36,50,51,45,38,39,29,21,15,18,8,11,8,8
14,20,16,17,16,23,26,27,33,19,18,21,11,10,8,13,9,8,4,10,10,10,7,7
20,18,11,10,12,14,12,14,12,8,12,15,18,18,19,26,31,23,24,17,18,19,19,18
12,14,15,14,19,26,28,26,23,18,23,28,23,23,17,17,17,18,28,17,3,10,16,12
20,15,17,15,24,25,32,30,39,27,26,22,15,16,11,13,14,7,22,30,28,26,25,17
16,9,13,17,25,26,18,27,24,26,36,36,43,32,30,30,28,25,28,20,14,18,15,18
20,14,14,18,17,31,24,26,26,22,32,26,27,27,25,24,22,19,17,16,14,21,30,25
23,21,12,13,17,24,28,32,32,39,36,33,38,36,34,37,37,41,27,23,28,31,33,19
20,16,18,18,22,26,25,21,28,32,32,32,31,34,33,11,11,8,7,7,7,19,26,33
34,26,23,18,25,27,27,26,30,28,45,44,47,41,33,31,24,21,25,13,5,9,11,19
5,16,22,16,15,14,16,20,18,18,24,14,13,17,21,17,16,16,20,3,4,16,14,14
12,12,9,14,11,14,15,16,15,11,15,16,24,20,12,19,9,6,8,6,13,19,24,27
24,23,25,24,30,39,37,47,39,39,55,59,53,36,27,30,34,28,23,13,21,29,35,32
31,34,35,25,36,39,44,55,48,35,47,41,35,28,30,30,29,24,16,16,19,38,43,38
32,23,20,16,15,25,23,30,25,25,26,28,30,20,13,22,23,21,17,7,13,18,27,36
35,22,17,16,25,39,32,38,34,37,48,51,42,33,37,36,38,37,27,17,23,38,41,34
34,28,26,26,30,36,34,47,35,34,45,37,37,35,38,41,27,20,15,12,13,14,11,11
20,15,20,14,16,18,20,23,18,16,21,20,19,24,23,27,33,22,13,9,4,8,10,8
21,16,10,17,14,9,16,20,20,21,26,26,29,31,23,22,19,26,25,24,26,28,24,20
22,17,22,23,21,17,27,31,26,26,30,30,32,36,28,37,32,23,25,17,9,23,40,45
39,24,20,17,18,18,28,32,32,32,38,34,36,33,28,26,21,23,22,15,27,15,17,14
14,16,14,10,18,28,29,30,40,61,60,52,50,47,44,42,32,21,18,12,21,27,31,27
39,41,39,45,44,38,37,40,34,41,43,41,43,42,32,30,35,31,18,15,19,17,27,29
29,28,22,19,23,23,22,30,29,25,45,40,38,38,31,34,35,30,25,23,28,26,36,29
31,27,16,16,13,22,43,31,27,22,25,19,23,17,15,15,17,20,7,8,13,18,20,19
19,33,39,35,33,34,34,27,21,15,14,13,7,13,14,15,15,13,6,8,15,19,25,31
44,35,22,23,24,44,45,42,27,33,39,34,35,36,31,32,30,27,16,18,18,19,22,17
25,29,24,23,21,28,46,33,31,36,38,32,34,28,30,22,16,13,4,11,18,18,13,18
12,13,14,16,13,18,24,19,21,28,31,33,28,23,23,26,26,35,27,29,26,24,16,12
19,18,13,14,10,16,25,24,24,34,29,22,14,16,24,27,27,22,12,16,19,16,18,18
7,9,12,11,11,14,18,13,19,25,31,37,41,38,32,35,36,44,22,27,33,29,24,19
17,17,11,11,12,15,21,26,31,23,27,22,14,19,18,19,15,17,10,23,31,36,35,35
39,31,23,22,24,25,32,23,14,13,16,12,14,15,15,17,14,9,7,16,26,24,22,27
27,27,23,30,30,30,27,20,22,25,36,36,30,30,34,32,34,25,22,25,14,24,28,32
38,30,24,25,37,43,36,44,41,37,46,32,38,39,40,39,31,24,18,25,30,29,32,30
29,32,40,30,32,29,30,24,25,35,55,47,47,30,29,30,28,21,22,19,24,24,25,26
24,26,27,26,33,48,57,47,43,49,55,60,42,37,39,46,38,46,46,46,44,33,33,29
29,29,33,38,46,49,49,57,58,56,57,46,54,50,40,38,45,37,26,30,34,36,38,36
35,52,57,51,58,66,62,51,65,58,56,38,32,27,28,29,29,31,25,32,34,35,31,30
34,31,26,28,41,58,62,55,59,41,27,22,27,28,30,27,10,26,34,32,27,28,26,31
30,35,30,28,36,37,29,29,41,41,46,63,69,52,48,45,26,36,34,30,40,35,24,17
22,16,17,24,30,29,33,31,45,43,58,59,55,44,39,44,43,43,41,38,38,28,26,19
21,24,29,28,34,26,35,48,42,49,58,57,48,39,37,40,42,32,21,31,41,57,59,52
66,71,71,75,79,84,68,56,42,39,47,47,44,37,38,44,38,47,46,30,34,37,37,37
33,19,10,8,16,17,36,50,53,58,62,62,57,60,49,41,43,37,19,16,16,28,32,32
30,18,22,17,21,24,27,25,28,24,23,16,14,17,17,18,11,21,18,21,22,23,26,25
24,22,22,24,18,19,20,14,15,13,12,14,10,10,10,5,10,10,12,14,18,18,22,23
24,26,31,28,27,23,21,18,19,19,20,14,15,15,14,16,15,18,18,19,20,29,27,26
26,31,28,31,30,36,30,16,16,16,17,11,18,20,22,15,17,22,21,21,26,28,31,37
46,41,28,32,32,35,33,28,17,25,31,29,34,30,29,29,25,35,39,37,34,29,28,27
24,23,22,24,31,32,34,35,26,17,30,29,32,41,29,19,25,26,33,29,24,22,22,20
22,20,13,26,34,31,18,22,25,34,42,44,43,38,26,21,27,32,31,30,29,29,36,51
48,22,19,21,16,23,30,33,36,33,24,20,20,21,20,16,17,17,20,17,17,11,13,23
13,14,10,17,11,11,10,9,13,15,14,18,19,15,11,2,13,9,9,15,5,4,7,10
12,13,15,21,18,22,26,31,29,32,32,31,30,30,33,36,44,41,30,31,40,46,41,26
26,28,27,32,45,39,24,21,32,34,38,43,45,35,33,25,25,16,22,25,11,10,9,11
7,9,11,17,15,14,13,9,19,27,30,42,35,24,26,18,22,27,20,17,12,13,7,19
