1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
48,58,33,26,13,15,9,9,7,8,3,5,4,15,11,14,7,8,11,8,16,19,19,9
16,9,14,8,11,9,7,8,9,12,8,12,9,12,23,7,9,8,19,14,11,10,5,8
7,5,6,9,4,13,9,14,6,10,6,6,1,6,9,5,11,10,11,13,8,9,10,13
20,24,16,15,12,12,18,14,17,19,4,11,20,14,14,13,15,23,28,31,38,18,20,15
6,19,17,22,24,11,16,13,17,14,5,14,10,29,15,19,33,33,31,31,36,37,38,41
31,40,28,20,21,19,5,3,7,19,17,5,10,19,18,8,16,15,20,17,27,21,17,10
18,18,15,9,12,7,10,11,10,6,10,9,12,13,8,11,4,15,9,10,11,7,11,7
4,7,8,4,9,9,8,13,11,12,12,8,14,15,20,19,17,16,8,5,6,3,7,3
5,13,13,13,22,27,24,18,16,23,16,10,14,17,28,24,30,32,38,33,30,24,19,22
8,15,15,15,22,23,26,29,17,19,19,14,30,24,15,20,23,31,22,37,23,33,27,26
31,32,22,34,26,34,27,20,18,20,9,11,19,24,16,17,33,35,5,17,21,17,14,9
3,7,11,7,12,8,12,9,9,15,9,1,8,15,22,19,18,26,23,26,25,27,15,11
3,8,9,12,7,7,9,8,7,13,13,10,9,9,4,1,11,11,7,15,23,28,41,15
4,7,10,6,8,7,11,13,7,7,4,6,12,6,11,7,11,37,15,5,13,22,17,17
20,12,8,5,3,2,12,11,11,12,13,8,15,7,13,15,11,9,9,14,82,18,13,18
1,6,3,1,10,7,11,9,18,12,10,14,12,14,16,5,7,16,17,16,15,21,19,17
30,20,16,19,14,20,23,34,29,41,22,15,14,11,17,10,28,40,32,36,36,33,44,38
43,37,37,35,35,28,41,36,38,30,18,22,26,22,26,33,21,27,30,25,28,23,27,19
14,11,9,14,10,10,13,12,14,9,16,14,16,23,34,21,22,34,45,34,16,10,11,10
20,19,24,24,24,19,21,24,20,27,21,20,19,13,13,18,34,46,31,27,22,14,15,11
16,12,16,16,20,23,20,21,14,12,8,13,16,11,13,15,21,28,11,11,20,18,27,27
39,25,26,26,32,33,32,36,24,29,16,20,24,23,25,22,20,14,17,24,39,23,15,16
16,11,14,18,28,25,23,28,26,30,15,18,22,20,25,20,18,33,22,13,30,21,16,19
16,13,18,7,9,14,14,13,14,16,19,22,20,24,15,96,22,10,14,17,19,33,29,31
32,32,27,16,12,15,14,18,8,18,11,24,36,34,39,35,22,19,15,16,9,10,10,13
18,22,20,14,14,19,19,17,22,13,16,18,16,15,18,14,13,25,16,26,22,10,5,12
16,12,11,17,24,11,10,10,15,14,18,12,2,19,16,25,30,34,26,25,17,11,7,9
11,12,16,10,5,12,6,10,7,4,5,7,16,12,19,14,14,27,35,38,45,40,40,35
25,16,28,23,21,20,23,17,19,21,29,21,26,19,16,17,17,14,6,23,22,10,10,20
1,12,8,12,8,15,20,18,19,18,14,9,9,18,7,16,16,8,11,9,15,14,14,9
19,20,6,14,9,10,18,11,17,14,10,11,13,10,11,21,17,12,21,9,21,10,9,12
6,14,13,4,6,11,13,21,12,10,8,30,55,10,19,24,18,23,9,22,22,15,14,17
19,15,15,12,9,7,13,17,10,18,18,23,26,20,26,38,42,33,31,21,20,17,8,17
16,18,10,5,8,7,6,17,6,7,7,9,11,16,18,26,17,19,14,9,14,12,14,13
19,13,19,7,13,14,14,16,7,18,8,9,12,17,25,27,25,31,18,30,13,22,17,17
7,8,17,11,11,15,10,18,16,12,8,15,20,24,24,30,17,13,26,21,13,17,9,7
5,2,5,10,8,8,13,16,20,14,24,18,26,33,28,21,13,19,16,16,12,7,8,9
1,12,14,6,16,18,13,26,25,25,31,39,22,17,16,13,14,10,17,33,52,25,24,30
25,54,52,39,34,24,32,27,33,30,21,39,47,37,26,29,29,37,40,28,33,36,34,38
40,49,29,23,26,29,24,37,37,36,28,26,20,23,44,31,41,46,49,46,34,23,27,39
20,24,24,21,26,21,25,30,20,26,38,31,36,35,28,21,33,15,5,12,15,18,19,18
27,27,20,18,17,17,23,25,17,17,8,8,12,10,13,8,12,32,14,9,13,10,23,16
13,21,15,13,13,16,14,21,21,19,13,15,18,24,14,13,24,11,27,26,17,9,12,7
18,3,NULL,2,0,5,5,4,4,1,5,2,5,6,6,10,11,10,7,9,7,3,5,6
14,10,4,2,4,2,6,7,6,11,7,14,12,12,13,14,10,12,12,12,5,13,6,6
14,3,5,6,4,7,6,9,12,15,14,16,26,14,29,27,22,13,12,8,5,8,5,6
6,3,8,8,5,6,6,14,15,19,19,18,21,21,22,33,28,19,16,10,19,19,23,21
16,18,18,14,19,16,25,23,17,15,6,8,25,23,26,18,21,23,23,26,28,20,13,15
24,26,14,10,14,15,11,18,14,12,12,14,12,14,2,1,17,16,12,6,7,11,14,12
21,16,15,9,14,12,18,18,19,21,18,105,32,16,21,17,18,12,18,30,19,18,14,23
13,11,9,10,7,8,10,10,8,8,23,35,23,19,24,27,20,10,26,13,11,9,7,11
11,13,10,16,12,11,15,10,10,7,7,12,10,21,22,12,12,16,13,18,22,29,31,47
31,21,31,34,31,27,43,36,25,16,14,19,18,30,5,32,38,24,38,23,17,14,18,11
22,26,22,14,15,12,10,14,13,13,11,21,29,27,24,28,26,24,34,26,21,18,22,14
20,14,12,16,12,10,12,13,10,1,14,21,21,20,38,32,21,24,25,28,20,17,13,13
17,15,13,18,27,16,10,7,6,2,9,13,28,24,21,33,29,29,22,27,11,10,13,15
17,9,19,13,12,19,26,30,15,19,31,35,26,25,35,38,21,13,9,13,5,12,13,21
18,15,18,14,7,7,13,18,8,9,11,9,12,7,10,14,17,22,17,30,21,24,28,12
34,30,36,30,25,33,35,48,44,25,24,22,26,28,26,21,49,42,43,36,36,30,22,40
33,25,30,33,43,38,33,34,15,12,19,25,19,17,29,51,41,46,40,39,45,37,32,30
36,30,39,31,28,29,25,27,29,21,24,16,16,10,12,31,13,23,24,33,23,19,24,8
10,9,6,13,9,13,12,8,11,16,23,9,6,7,17,20,21,14,10,14,12,11,11,25
23,28,17,20,18,24,30,23,25,7,8,16,5,14,14,32,33,19,15,18,20,23,20,26
29,20,22,25,30,22,31,33,24,15,13,11,14,9,11,21,26,26,7,13,17,27,27,39
40,32,35,26,34,30,29,31,23,13,16,16,11,8,11,23,31,33,46,39,39,30,37,23
27,24,26,24,29,27,29,29,30,22,23,34,23,17,24,30,17,6,17,14,16,7,12,9
10,9,7,6,8,5,16,17,15,10,19,15,11,18,22,14,20,23,13,11,14,5,10,2
11,11,11,9,8,9,18,13,12,19,9,25,21,28,23,35,42,42,39,24,22,25,16,16
21,15,13,13,10,11,14,16,13,19,15,22,19,31,19,34,34,26,23,25,21,21,33,27
34,24,16,19,13,18,20,22,20,13,23,24,23,14,18,20,28,27,25,23,24,29,43,45
45,39,32,35,26,27,34,43,29,20,29,27,24,22,22,25,22,36,20,33,25,23,20,30
32,36,26,27,26,29,19,7,11,8,12,20,18,21,18,24,NULL,58,46,51,58,35,30,51
45,31,31,36,30,33,34,30,28,16,29,40,35,35,38,44,50,46,38,55,25,5,2,6
6,5,6,4,9,6,20,4,5,4,19,11,17,17,27,24,31,15,28,22,24,17,21,30
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,74,56,37,36,37,47,68,28,69
24,10,28,30,39,48,61,60,53,68,107,49,53,50,41,60,57,4,0,0,0,0,1,8
77,23,14,4,2,8,25,3,2,12,8,20,21,30,33,28,18,39,16,15,8,8,6,3
2,5,11,3,8,10,15,17,18,23,13,24,25,41,44,45,42,48,16,5,7,4,2,0
18,11,5,3,2,7,16,17,14,17,31,42,51,54,43,70,72,48,41,26,15,15,7,11
25,28,23,14,21,25,22,24,16,10,15,21,19,27,27,33,25,19,24,15,10,21,28,41
32,25,15,11,2,5,11,9,7,3,0,45,30,36,32,27,34,34,31,31,32,43,42,50
46,26,25,24,18,12,26,21,30,18,16,23,34,34,41,21,1,0,37,0,0,0,2,0
15,21,10,5,8,11,14,6,13,22,22,2,30,36,29,41,32,29,8,4,4,5,2,7
22,15,13,10,19,29,18,31,26,24,31,33,41,37,54,29,10,9,4,9,12,8,24,33
35,33,35,50,37,38,29,32,24,29,30,35,31,46,38,61,41,4,11,10,22,26,29,26
32,29,31,26,23,17,14,26,18,16,25,37,37,24,30,47,28,15,2,7,15,15,10,28
24,30,27,25,10,14,24,18,9,19,17,19,33,22,27,36,35,23,26,5,2,3,5,6
3,11,12,13,13,13,24,16,8,13,17,29,21,23,31,32,34,25,18,18,9,10,4,0
0,0,0,2,5,9,13,11,12,19,15,24,26,25,29,8,15,22,15,19,10,9,10,1
11,15,14,17,9,13,15,19,16,24,23,26,32,26,31,29,12,9,4,4,4,6,0,2
1,1,6,14,10,8,17,20,22,19,36,31,48,49,59,65,38,34,27,10,10,17,16,12
14,13,5,3,2,7,14,27,15,26,30,47,47,51,42,57,60,37,30,23,22,25,28,6
13,12,10,13,13,20,24,27,22,22,27,29,39,46,46,59,40,29,28,20,13,12,6,1
5,3,9,11,9,7,9,5,6,16,15,36,46,49,45,41,62,38,24,20,16,16,19,23
12,5,11,7,5,1,11,5,15,19,26,28,35,47,45,49,57,44,23,16,10,16,12,11
5,9,2,8,9,7,13,16,11,15,20,41,47,51,54,47,62,55,26,20,11,11,6,12
11,10,8,11,25,15,7,13,13,21,19,39,49,44,54,55,68,44,45,31,32,17,18,19
24,9,14,7,8,16,17,14,18,22,25,35,44,39,52,49,50,64,35,27,24,21,15,12
26,15,5,8,10,11,20,21,24,32,30,48,38,37,34,38,33,30,45,40,36,46,46,38
43,34,32,25,30,31,33,41,42,34,25,41,43,42,36,28,37,40,59,26,28,18,21,6
9,10,6,8,6,8,16,17,17,20,26,42,47,49,34,32,22,25,27,18,10,5,8,15
11,8,2,4,2,2,4,3,1,2,6,9,8,4,8,8,9,4,2,5,2,0,8,10
16,1,0,0,1,3,7,5,9,16,7,23,32,31,32,24,21,17,17,6,8,6,2,2
3,1,2,3,3,7,13,10,16,19,26,40,29,38,37,48,25,28,32,13,11,8,7,8
17,6,4,0,0,5,21,10,15,22,24,46,49,47,48,42,43,54,33,23,20,13,27,33
31,29,21,16,5,6,12,15,18,30,40,59,49,41,43,40,45,51,51,18,21,31,29,21
23,17,15,21,20,25,36,45,42,43,28,49,36,38,30,40,31,15,17,10,13,17,39,30
43,28,29,43,46,33,50,51,53,38,30,43,50,45,42,45,69,54,46,32,34,26,14,11
25,17,19,16,7,11,14,11,9,17,26,42,45,47,35,46,42,59,34,26,20,29,20,28
23,28,27,23,23,19,21,25,23,32,39,46,61,46,38,48,75,59,42,40,28,36,32,41
29,36,34,28,25,17,23,25,21,23,23,36,44,39,33,49,69,61,46,40,30,25,16,17
19,24,26,18,25,28,37,30,24,35,25,41,47,54,54,36,57,70,51,45,40,37,36,24
37,31,27,21,21,20,24,20,23,31,42,42,61,65,45,48,42,71,50,30,23,21,19,20
28,27,14,28,25,15,22,26,21,25,19,37,36,41,34,48,49,66,53,38,36,33,36,33
32,41,40,32,16,19,25,19,33,20,22,34,46,44,50,42,59,60,61,51,51,55,38,39
40,33,33,14,41,17,37,22,18,21,21,37,34,42,46,34,37,40,38,39,42,34,36,48
34,42,35,39,15,19,19,26,30,41,31,39,45,35,40,42,43,44,42,45,76,82,75,67
74,66,88,70,90,67,50,51,50,38,23,35,33,35,29,35,43,35,23,19,16,25,16,25
11,33,13,29,13,23,34,31,31,30,25,35,43,52,55,62,54,47,33,27,23,20,10,11
12,33,11,9,7,10,17,23,25,26,25,38,47,47,47,49,41,59,47,51,65,50,53,54
59,60,55,35,45,34,34,36,42,39,39,47,45,33,38,36,52,48,59,63,60,56,51,61
62,56,41,31,30,22,27,29,28,37,33,42,46,46,53,48,65,65,58,49,45,39,41,48
42,51,39,46,26,33,22,33,42,36,31,30,36,54,56,44,48,43,29,21,21,18,15,19
16,14,12,10,14,16,18,24,23,25,18,40,32,27,44,33,40,34,24,16,12,10,2,13
10,13,5,3,7,11,13,13,11,20,25,19,14,18,27,39,27,22,20,15,9,7,2,1
3,2,1,3,2,5,10,19,13,24,22,39,44,40,46,48,48,48,45,20,25,13,10,13
19,9,9,1,4,1,11,18,13,20,26,49,50,46,32,44,40,58,79,80,76,68,49,43
43,50,43,29,23,25,29,34,37,42,30,49,58,56,45,49,64,61,78,59,54,43,38,47
36,29,32,29,26,23,27,22,30,37,49,57,57,61,45,57,41,33,24,21,14,10,10,21
19,13,7,9,3,8,6,13,13,10,9,21,21,28,54,55,45,46,42,37,17,12,14,1
8,19,7,3,5,5,14,15,15,29,29,46,40,43,41,45,53,69,57,39,35,31,33,25
37,19,24,4,17,12,15,21,22,26,30,46,30,34,25,20,21,28,34,34,61,57,59,42
54,30,30,36,33,45,27,26,28,38,35,42,38,44,24,36,49,46,30,31,19,15,6,12
10,9,13,9,7,18,11,11,15,19,18,34,50,40,46,38,36,47,36,28,18,13,15,19
18,20,8,16,6,16,15,17,21,26,22,39,43,41,39,41,47,49,48,57,34,27,20,12
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,3,7,3,6,7,16,18,27,29,25,56,63,57,44,38,35,39,45,48,62,60,52,49
42,41,30,37,37,35,56,52,49,58,50,70,70,47,45,44,36,56,59,67,58,59,56,64
72,51,47,43,50,50,51,64,57,70,60,69,75,62,56,63,71,61,47,33,27,20,21,11
12,19,8,19,10,26,28,38,23,25,20,48,55,50,54,56,67,48,34,32,16,18,13,9
11,6,19,15,11,13,21,29,23,30,26,51,46,46,50,55,62,31,23,19,10,10,7,13
13,11,7,14,19,23,27,24,24,27,40,48,49,45,46,53,48,62,49,28,41,9,15,10
17,22,19,21,23,21,22,28,7,14,26,53,43,39,35,38,55,46,39,27,28,17,6,7
12,8,2,3,16,9,11,15,24,20,24,44,53,41,42,43,44,50,36,21,14,17,17,24
15,5,12,13,11,16,18,19,19,27,25,44,50,42,37,34,31,45,57,40,25,23,26,31
29,17,19,8,13,10,19,22,18,29,26,48,48,34,29,29,37,46,54,54,54,48,22,11
33,42,36,36,24,36,27,25,34,34,22,47,41,27,29,31,28,41,46,63,66,63,56,55
40,57,68,88,65,58,47,53,18,3,6,28,48,38,40,46,48,72,91,100,101,84,85,92
67,69,77,81,61,55,61,58,59,76,51,31,59,68,62,53,44,50,62,74,75,86,79,96
98,82,65,51,20,10,2,5,2,0,0,4,6,9,4,3,2,2,9,2,1,0,0,13
2,2,6,12,7,18,14,17,16,12,20,25,32,21,26,24,35,16,25,14,3,11,7,16
18,10,21,24,21,16,19,24,26,23,27,31,33,47,67,71,55,49,46,32,24,13,20,20
28,27,32,32,22,27,31,33,35,43,44,36,48,49,46,145,81,45,40,40,35,36,35,33
42,39,32,32,27,30,32,38,39,43,26,42,43,36,27,50,36,33,36,19,13,6,6,6
17,7,2,5,8,8,11,15,18,10,6,20,23,21,19,55,47,61,49,44,46,40,51,52
43,27,17,15,16,5,10,5,11,9,26,32,41,46,56,56,53,50,38,33,34,49,52,46
50,47,31,21,9,13,11,14,6,5,19,32,53,44,46,54,46,65,58,36,43,58,47,23
37,44,34,31,25,29,38,33,27,41,26,32,37,36,39,40,42,48,42,50,40,41,35,25
18,14,15,8,14,4,23,17,25,22,17,58,46,53,104,90,61,79,58,51,39,44,31,26
21,21,20,15,16,10,3,3,14,12,11,14,30,18,70,33,29,36,33,28,23,23,25,15
4,0,1,0,0,3,0,3,4,10,12,12,13,11,18,15,16,13,11,5,10,8,3,11
8,6,5,12,8,12,19,18,13,14,20,22,32,29,32,43,31,13,12,9,10,4,9,4
5,4,5,0,4,4,9,3,5,5,10,18,13,21,14,12,20,13,7,5,9,9,11,5
7,14,4,5,6,4,6,11,14,8,11,16,21,15,28,32,55,42,22,11,4,0,2,0
8,5,12,3,12,4,9,16,13,16,21,24,31,32,34,62,57,35,12,15,7,3,6,4
10,5,10,8,10,12,14,24,12,16,16,21,34,35,30,37,41,49,51,39,25,32,24,20
18,15,5,11,10,17,18,20,22,28,16,33,41,35,37,32,29,42,52,75,62,65,56,70
75,59,45,37,37,33,52,47,39,42,28,45,40,40,31,35,41,52,53,77,94,70,61,73
82,71,63,54,46,38,40,25,40,49,28,32,29,40,27,32,31,40,46,50,49,34,44,60
71,36,38,47,63,33,37,39,44,42,44,44,35,27,32,47,35,51,55,50,52,55,69,87
92,80,74,83,93,90,67,66,58,59,32,25,29,25,30,33,35,50,65,50,51,42,36,32
49,39,49,48,59,47,50,58,58,70,59,36,42,39,36,41,49,100,78,52,14,21,25,14
18,39,46,24,42,54,53,73,94,37,46,61,47,40,52,56,50,67,92,99,92,90,75,96
87,88,60,50,79,83,82,87,74,77,82,94,88,58,54,45,51,53,49,35,38,38,34,48
49,43,47,52,34,34,32,40,36,46,48,56,67,62,61,55,58,61,78,73,80,59,85,87
80,63,41,33,36,35,38,36,35,50,18,24,40,38,38,38,34,60,58,62,61,69,84,76
72,56,60,37,39,40,49,72,58,56,51,30,40,43,38,39,51,53,69,86,91,83,106,110
127,115,82,77,96,67,81,63,56,71,69,69,75,53,36,40,35,41,58,71,65,42,59,58
63,63,46,45,39,47,46,49,52,58,45,20,0,1,13,19,21,30,58,80,118,113,92,103
117,108,88,70,69,68,65,75,75,80,57,53,56,40,37,27,11,6,6,3,3,6,4,3
7,11,7,6,8,9,12,15,23,21,27,41,32,46,44,50,57,63,49,44,49,40,41,37
53,56,56,71,61,62,52,41,35,29,36,54,56,51,52,36,38,53,78,81,88,83,88,98
97,78,87,77,73,64,67,63,70,72,71,65,49,36,38,49,48,59,65,64,82,75,77,112
95,76,89,85,70,67,64,61,57,59,61,48,48,36,42,43,44,50,64,78,104,133,132,137
140,130,121,103,99,85,83,79,74,70,42,41,55,34,29,33,35,40,48,97,122,116,93,104
108,93,86,70,52,35,33,33,37,41,48,56,52,54,45,36,48,27,12,10,8,6,10,15
16,17,9,8,10,3,7,10,12,11,1,7,26,20,19,15,12,15,12,7,9,8,7,9
13,11,7,7,11,10,20,16,16,18,22,23,16,16,18,22,25,24,26,19,17,21,18,19
16,5,11,16,20,21,26,21,19,22,22,34,35,39,28,29,40,48,55,62,69,58,54,52
49,54,45,37,45,34,12,19,16,24,29,46,52,28,26,34,43,56,66,71,63,124,86,79
