1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
89,93,28,19,11,20,17,16,5,10,6,3,13,13,11,4,21,37,9,5,12,14,19,10
9,12,16,8,3,11,5,4,8,6,11,15,10,15,12,17,0,3,5,3,3,6,6,2
3,6,4,4,7,2,2,5,4,5,6,9,2,6,5,5,4,9,6,7,0,7,5,5
14,9,15,14,22,21,21,22,11,12,11,13,11,20,24,20,24,24,10,16,22,20,18,19
18,18,20,13,13,13,13,17,13,9,17,14,30,21,33,41,35,47,39,37,33,28,27,26
27,17,25,16,32,28,30,24,24,21,40,NULL,NULL,31,22,26,46,32,48,48,54,46,43,54
46,47,48,44,36,50,51,47,35,22,31,25,21,11,18,9,23,43,31,33,30,33,30,38
36,37,37,44,34,37,36,40,41,28,36,37,29,28,61,64,48,37,31,26,17,18,30,31
39,30,21,22,28,27,24,24,32,41,33,14,7,4,11,4,43,33,12,10,24,6,5,11
16,16,14,4,8,4,16,16,7,15,8,3,8,0,5,9,19,9,13,14,20,20,31,8
5,6,4,2,7,4,4,8,7,4,6,4,12,8,10,15,13,5,7,13,16,17,16,20
13,15,12,8,4,9,5,14,9,2,5,6,10,2,11,6,9,9,9,8,8,10,9,15
14,13,15,11,14,17,21,28,30,22,16,20,23,21,21,10,18,25,8,7,15,10,7,6
11,7,27,11,8,11,4,12,17,22,42,61,57,51,28,10,5,5,4,8,6,5,6,2
3,4,4,5,6,3,6,4,2,9,5,8,6,5,4,6,7,1,11,4,4,4,5,6
5,11,8,10,11,8,9,15,7,8,12,7,11,20,11,14,17,21,17,25,29,24,22,20
19,18,26,16,10,15,14,15,15,12,26,18,23,19,17,25,29,30,26,36,29,26,26,26
19,20,21,18,12,19,19,21,17,18,17,23,21,24,19,23,25,56,39,16,4,11,20,13
9,14,12,15,15,16,13,17,14,13,13,19,25,18,17,19,14,14,15,15,10,13,10,14
10,19,12,12,5,9,9,10,6,13,12,6,7,7,7,6,8,13,10,8,15,14,9,2
4,9,10,10,9,13,7,14,11,7,8,11,9,15,7,14,6,12,27,19,17,19,11,13
14,14,13,14,14,15,11,5,12,20,12,19,19,15,21,19,20,22,23,21,NULL,18,17,16
17,15,13,13,19,18,15,22,21,12,3,11,10,19,25,18,29,39,31,35,21,24,19,21
26,25,23,18,40,25,14,15,15,17,15,18,13,15,40,55,30,26,16,12,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
