1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
28,55,52,35,17,17,21,25,17,17,10,15,9,16,12,28,36,35,28,18,12,23,31,21
21,18,25,14,18,19,22,20,20,25,11,14,14,10,10,9,10,12,18,27,17,26,40,19
23,18,17,15,17,13,9,17,17,16,18,18,12,15,22,11,17,26,22,24,18,5,7,9
8,5,6,8,13,10,15,15,17,15,18,21,16,12,22,18,11,16,15,4,3,4,10,9
10,9,10,8,9,9,7,12,14,12,6,11,10,8,9,7,9,8,11,11,14,12,9,10
11,8,13,6,11,13,15,17,14,11,9,5,7,7,9,10,10,6,10,29,28,5,8,15
15,16,20,21,21,24,17,22,25,27,15,11,14,13,13,18,21,14,18,13,17,23,22,15
21,23,26,15,18,14,19,17,32,35,25,22,16,18,19,17,33,23,8,18,25,16,20,19
17,30,23,14,19,17,26,21,22,31,33,29,24,31,26,20,17,46,48,42,43,36,36,37
33,22,30,32,34,32,26,14,20,14,17,23,27,23,21,28,28,30,28,33,33,25,24,17
2,2,8,9,16,16,17,20,21,28,38,38,23,20,28,35,41,16,10,23,20,22,24,35
40,36,44,41,32,26,20,17,17,15,18,19,23,24,30,26,27,17,18,13,18,28,25,24
19,29,25,28,22,21,21,21,19,21,20,23,20,17,18,14,25,28,26,23,32,31,38,37
20,11,21,24,26,24,27,36,34,33,32,19,26,19,19,23,24,37,9,16,19,26,46,55
27,21,33,24,24,29,40,39,31,26,26,21,25,29,26,22,26,22,32,24,18,24,22,41
11,20,23,29,37,30,42,70,70,54,50,43,30,31,23,26,31,41,13,17,17,9,14,12
12,15,26,14,7,15,15,19,24,27,28,37,31,25,20,27,18,21,31,11,11,19,24,31
30,29,33,25,17,13,13,7,13,19,17,25,30,28,19,16,26,18,3,9,13,24,14,18
29,27,27,23,21,20,23,18,19,23,16,22,19,19,17,17,23,17,19,39,18,5,12,20
16,12,15,10,9,7,11,8,6,19,14,14,15,13,11,33,17,13,6,5,8,4,9,18
9,10,16,12,11,12,19,23,18,33,29,20,21,16,17,16,19,19,18,23,43,29,27,26
23,26,36,22,20,24,23,33,37,31,41,42,37,35,46,46,21,11,1,10,17,15,14,14
18,13,17,16,15,16,24,25,29,34,32,32,27,28,25,27,43,36,16,22,29,21,21,22
23,31,30,30,27,31,33,32,31,23,33,33,28,34,36,23,23,14,10,13,18,18,16,21
18,18,23,19,13,16,18,15,21,25,19,19,21,15,13,13,14,19,9,7,9,7,11,10
14,11,24,15,21,16,16,22,28,28,28,20,16,14,18,14,24,4,8,12,14,11,12,19
22,13,12,12,16,15,16,11,12,11,16,9,3,7,9,10,9,11,7,11,15,30,18,14
24,25,27,23,24,35,43,48,57,52,28,14,10,15,7,9,10,11,11,34,40,28,21,17
18,15,18,20,20,24,39,40,34,30,31,24,26,17,20,34,47,21,26,24,32,31,38,49
56,52,68,62,51,56,65,74,75,59,60,44,21,20,16,24,27,33,16,14,23,39,30,41
39,49,59,66,49,45,52,46,55,76,73,75,47,42,41,21,23,17,14,11,16,14,15,14
36,27,34,45,38,49,51,49,79,68,78,67,33,26,21,15,11,20,36,38,37,30,26,26
38,29,28,26,30,42,44,43,22,25,33,36,34,24,28,19,22,22,56,28,39,37,42,43
37,19,20,19,16,16,13,15,15,14,14,15,17,11,14,20,16,12,14,9,5,6,3,1
5,7,8,10,0,4,3,4,6,7,6,1,5,3,10,4,4,4,8,4,13,15,10,13
10,13,9,10,14,13,12,19,18,27,16,12,16,10,16,12,11,10,10,6,11,5,9,10
7,8,6,8,3,7,7,16,9,11,14,15,9,7,6,10,16,17,16,9,8,14,9,9
12,11,24,18,9,17,18,22,19,17,21,17,29,19,26,25,20,27,18,6,8,8,18,23
15,11,20,17,19,14,20,24,32,45,49,35,30,22,17,17,21,31,25,24,19,22,33,26
39,19,24,25,22,24,20,31,28,27,23,17,18,19,9,16,25,25,25,13,13,21,14,24
13,25,26,15,18,15,16,20,18,23,19,15,14,13,17,15,18,14,22,32,29,29,29,26
26,15,23,20,18,21,19,24,25,23,23,22,19,22,21,21,23,27,25,28,26,25,30,30
23,15,15,19,11,14,8,9,18,35,20,23,23,22,20,12,13,16,16,13,9,9,2,7
2,14,20,11,10,7,9,6,4,13,17,24,23,14,20,10,9,13,11,19,12,17,17,21
17,13,11,16,9,16,13,15,20,20,21,16,21,22,18,23,25,20,14,15,18,16,16,12
17,9,13,24,24,20,20,22,32,33,36,44,48,49,45,34,27,16,31,34,20,26,13,6
4,6,5,11,11,10,8,8,10,4,4,9,14,13,10,9,13,15,7,5,4,5,8,NULL
NULL,2,6,22,16,7,5,6,11,4,5,12,13,7,14,8,10,7,11,11,11,30,38,54
43,43,27,23,22,18,18,27,24,22,18,16,17,11,13,17,24,22,32,31,24,28,38,39
32,34,18,20,16,12,17,17,19,19,19,19,20,17,22,25,17,20,21,18,19,15,22,29
18,22,23,17,13,16,17,18,19,23,15,13,16,19,21,26,20,35,32,24,12,1,8,15
15,18,16,17,16,22,21,21,32,19,12,17,14,15,11,15,12,25,19,14,9,10,15,19
20,20,29,27,17,24,27,30,23,23,20,20,22,17,22,11,20,21,16,8,4,11,11,22
18,31,25,24,23,23,24,20,16,17,17,8,19,12,16,18,13,19,16,20,20,13,18,23
15,17,19,20,17,21,19,23,16,22,18,13,25,17,18,17,17,17,18,7,17,18,17,15
12,9,7,12,9,9,13,20,18,22,23,21,27,27,22,20,20,14,20,15,20,14,12,5
10,15,8,6,5,4,11,7,11,12,12,19,12,14,21,6,6,9,8,15,11,18,18,15
16,21,15,17,9,5,8,16,20,16,13,20,14,16,16,21,16,14,23,12,12,6,6,7
15,19,12,5,5,6,5,10,9,13,11,12,11,11,17,14,14,12,12,6,5,5,6,6
9,9,8,7,7,5,6,9,7,11,20,19,30,18,13,16,7,7,10,4,9,10,12,14
12,15,28,28,26,25,22,19,19,19,12,10,8,8,12,18,13,16,33,11,4,8,11,11
17,13,19,20,12,13,15,15,16,17,9,8,7,5,7,13,6,12,12,11,12,16,14,6
3,4,6,7,11,4,9,12,16,13,14,16,11,11,11,9,12,15,8,14,9,11,17,11
15,18,20,21,18,16,19,18,21,22,11,14,NULL,NULL,11,11,14,20,28,11,13,10,16,11
21,21,19,20,16,19,29,35,30,35,26,22,13,11,18,16,22,8,10,13,23,28,29,28
28,34,47,32,24,17,15,26,21,18,15,19,19,17,14,23,12,13,19,21,21,18,25,26
25,22,22,21,15,16,17,19,24,16,22,22,19,17,16,17,15,20,16,13,20,22,29,30
38,72,61,41,32,30,34,33,47,45,20,9,9,15,16,14,16,21,23,3,14,25,30,35
43,31,10,4,4,4,3,4,2,7,8,7,7,6,2,6,7,5,3,3,8,4,4,4
3,4,2,3,5,3,9,6,12,12,11,19,15,16,14,10,8,8,10,8,9,6,10,6
4,16,5,9,8,14,7,10,28,31,13,16,18,19,21,16,40,39,25,22,27,25,25,16
15,17,19,17,20,27,31,30,11,20,15,15,15,19,22,22,20,25,15,19,19,20,20,21
22,23,20,15,18,13,15,12,21,18,20,22,20,21,13,26,26,17,15,11,7,11,20,15
14,16,11,11,18,17,18,20,16,21,25,27,28,18,24,12,15,6,10,9,5,11,16,17
20,17,17,16,13,13,8,9,21,18,10,15,9,17,15,19,22,12,18,8,6,2,7,4
10,16,8,3,7,8,7,12,13,11,16,16,11,29,16,17,13,8,9,11,11,15,18,19
18,19,14,17,18,12,18,20,19,22,24,19,20,16,21,16,20,13,16,25,22,26,23,25
25,18,19,16,16,19,17,23,31,30,20,27,21,19,19,19,23,19,14,7,12,10,5,6
7,8,9,12,8,11,13,16,24,25,23,21,16,22,8,10,10,10,10,6,11,10,14,15
13,19,6,5,2,10,3,1,6,3,11,12,7,12,9,5,8,5,4,6,4,6,10,13
15,10,14,9,6,11,17,19,11,18,14,7,12,12,10,12,11,11,11,12,10,9,10,15
13,20,14,11,11,15,11,13,22,20,13,18,20,15,13,13,24,34,32,28,26,24,25,19
25,23,26,20,12,13,17,14,20,21,19,23,17,16,20,36,33,25,28,19,28,32,42,35
29,26,24,20,22,20,25,23,36,34,29,33,18,16,25,22,27,38,28,26,30,20,32,29
13,28,26,27,27,22,31,34,35,41,32,38,27,33,42,35,28,30,23,22,25,30,24,19
18,19,13,15,17,19,24,25,23,35,35,33,33,29,40,43,38,24,8,6,9,14,13,8
17,19,11,9,13,8,10,11,18,16,23,21,20,18,8,12,7,16,7,13,9,7,11,9
5,13,4,6,9,5,13,11,12,13,9,11,15,10,17,12,16,19,11,12,16,13,11,18
13,12,10,11,5,5,10,10,24,26,16,21,17,21,25,26,33,26,15,16,21,15,15,19
19,14,14,14,15,12,14,17,17,15,13,12,15,13,14,21,32,30,20,23,21,23,22,26
16,25,18,12,11,16,14,20,15,21,22,25,27,28,32,31,24,22,17,20,14,13,11,15
8,12,14,11,13,16,22,23,36,33,32,35,35,41,39,46,38,35,31,26,22,16,18,24
18,20,23,33,38,33,24,49,73,74,75,71,45,23,34,23,21,27,45,25,22,26,40,47
37,57,64,56,58,57,45,46,63,64,61,60,40,29,29,33,31,33,42,40,53,50,46,61
90,115,124,96,63,53,58,48,58,47,49,56,54,49,37,30,30,29,31,31,24,21,24,25
26,34,24,28,36,28,24,20,14,22,23,34,34,38,38,41,3,15,7,5,6,2,16,15
18,21,21,16,19,14,15,13,10,7,7,9,6,8,9,14,8,14,12,17,18,19,11,13
11,11,5,7,10,7,13,10,18,19,10,8,15,12,9,5,10,10,5,3,5,7,4,3
3,8,1,6,8,1,7,5,7,7,6,6,3,8,9,8,1,6,6,11,5,7,7,3
1,7,5,7,7,9,8,4,13,14,15,16,11,17,6,15,8,10,4,6,4,7,8,5
6,6,5,6,7,4,10,12,20,24,34,41,31,32,21,29,38,43,29,18,17,24,25,20
16,19,21,21,22,25,22,31,32,31,27,28,25,19,18,16,41,42,27,26,25,30,23,35
35,34,35,30,37,30,38,29,32,30,31,40,32,31,25,37,53,25,22,24,20,30,32,27
29,30,30,28,20,14,15,16,12,11,3,7,6,2,13,7,13,12,12,12,16,13,18,14
13,11,16,16,21,20,17,19,15,25,19,30,22,19,20,26,43,30,17,18,20,16,16,7
12,16,12,15,18,12,19,17,24,34,20,17,20,18,17,14,20,22,25,38,14,6,16,16
19,29,7,8,11,7,15,12,15,11,22,34,16,20,17,19,21,19,19,14,10,11,10,16
15,15,7,8,9,8,9,8,11,18,14,16,19,14,14,12,11,18,21,15,12,15,15,11
17,28,23,30,25,25,22,26,25,30,17,23,15,24,20,16,19,13,15,24,20,11,14,20
31,28,39,19,24,24,26,35,42,40,22,19,25,16,22,16,16,21,21,18,29,33,36,43
31,33,39,38,37,28,31,39,32,33,22,18,22,13,12,12,21,22,18,25,56,56,57,61
53,39,40,39,28,26,33,36,31,41,38,45,38,36,50,43,41,35,28,25,25,28,30,24
19,26,16,23,21,14,21,32,22,25,37,35,36,40,43,31,18,12,10,6,12,13,20,17
14,22,21,15,14,17,16,24,23,27,26,30,45,42,41,39,33,36,37,28,22,16,26,26
24,25,14,16,14,16,23,25,27,35,40,45,42,34,39,51,55,52,26,25,29,37,34,26
