1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,13,4,7,16,11,15,11,12,8,15,12,8,15,15,12,11,15,8,14,7,17,22,28
10,16,14,18,11,15,14,16,22,20,14,24,17,14,20,25,7,4,10,11,8,5,6,26
13,10,11,17,12,8,15,17,12,19,20,21,14,16,17,23,39,10,6,9,16,11,10,0
6,6,6,12,8,16,12,19,7,23,15,20,16,12,18,11,19,22,29,21,10,25,23,38
37,36,29,27,43,19,14,18,11,26,27,21,23,22,1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,21,13,44,38,49,26,30,12,29,26,24,14,47,36,43,45,68,45,25,30,24,27,19
21,13,8,18,31,17,33,19,24,32,22,42,44,28,25,64,24,45,50,20,51,48,39,50
57,70,59,63,63,76,60,44,30,21,50,30,48,8,21,43,46,NULL,NULL,NULL,NULL,NULL,NULL,2
29,9,13,10,7,14,11,10,18,10,4,12,15,25,10,17,15,13,9,7,22,20,18,13
11,8,15,5,4,5,10,15,14,12,15,14,13,24,31,13,17,18,25,9,6,6,7,18
18,11,11,11,8,20,12,11,8,14,13,23,12,14,27,33,22,39,41,20,18,18,10,13
12,22,15,22,18,12,10,13,17,12,23,33,32,20,38,38,17,36,24,15,11,20,18,14
21,21,12,39,33,35,31,13,17,25,39,33,47,40,42,37,32,38,22,19,27,15,25,16
21,21,9,11,17,7,18,13,21,28,21,30,25,46,28,31,32,14,20,15,8,18,13,31
11,NULL,NULL,NULL,NULL,NULL,NULL,13,23,24,27,31,32,29,29,27,17,32,9,17,12,21,30,29
26,36,NULL,NULL,NULL,NULL,NULL,25,12,13,14,11,25,22,17,20,17,16,17,18,4,14,12,20
19,17,16,15,14,17,46,39,15,14,23,15,18,NULL,NULL,NULL,27,20,32,31,19,20,26,29
NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,19,26,26,16,14,26,21,21,17,19,7,11,12,13
17,34,34,36,44,120,59,41,45,42,49,35,25,30,41,36,NULL,32,43,20,19,16,31,46
42,32,32,21,23,36,64,40,24,42,NULL,NULL,NULL,48,42,58,41,36,30,33,28,35,19,37
33,29,33,31,33,24,17,27,9,24,35,35,23,14,23,18,30,28,25,35,7,17,16,23
25,31,21,20,14,12,8,8,8,16,26,29,28,24,41,11,27,36,2,10,7,17,15,10
13,8,17,16,11,16,19,31,23,17,8,16,23,22,22,13,21,13,16,14,12,17,41,8
10,16,19,15,14,13,25,28,28,29,15,18,18,33,18,31,11,13,12,11,8,11,9,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,13,13,9,32,23,29,19,23,14,19,15,11,NULL,13,27,39
29,27,23,11,26,23,17,28,7,20,19,22,19,19,42,23,26,29,30,5,24,26,34,26
NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,23,12,16,30,27,24,33,59,31,22,28,31,21,34,40,49
24,22,20,19,16,11,10,6,15,18,20,9,20,24,16,22,18,29,14,25,18,22,18,3
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,24,16,20,17,14,11,12,22,11,22,24,24,26,18,25,19,13,24,7,14,19,21,19
18,26,21,15,18,16,14,15,11,18,11,15,20,8,25,27,20,12,14,16,3,4,19,16
13,8,3,3,16,23,21,17,12,29,31,34,42,27,38,39,49,21,16,21,20,16,10,23
10,14,11,11,17,14,14,10,7,22,25,32,36,6,31,15,46,27,29,22,21,25,33,33
38,39,42,39,35,40,33,27,16,13,30,38,18,30,50,20,32,25,17,19,22,30,32,23
12,27,24,21,12,22,14,13,15,21,33,42,35,37,17,52,39,20,37,43,36,40,39,51
33,30,27,16,12,18,9,15,13,28,28,27,19,26,23,33,31,29,34,1,13,7,16,7
24,26,17,20,24,24,20,22,9,31,22,19,35,25,38,39,60,1,9,16,5,17,11,20
37,29,29,43,38,26,32,34,17,22,20,31,37,4,30,35,11,17,19,25,16,22,18,23
33,31,35,29,58,23,28,23,12,14,7,24,22,18,19,15,27,16,27,14,8,5,14,25
38,22,19,33,27,51,29,9,17,16,9,18,9,22,10,25,6,23,10,11,9,9,NULL,14
13,16,18,18,25,17,20,13,18,5,19,21,28,29,29,25,18,21,22,14,16,24,13,21
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,24,32,27,36,37,31,44,42,41,13,6,11,16,15,15
12,19,19,18,16,16,12,8,1,16,15,13,12,16,16,22,52,34,18,7,0,16,10,9
9,8,10,5,7,13,10,12,11,28,8,21,20,NULL,10,10,22,13,13,14,7,32,7,9
10,6,4,12,17,NULL,16,10,12,13,21,32,24,23,24,42,25,16,18,11,11,18,20,22
28,26,27,11,25,30,21,22,11,27,27,37,31,35,26,19,22,17,10,17,16,24,18,6
20,12,15,20,11,15,13,14,7,NULL,18,15,31,30,13,10,15,19,8,11,7,6,5,14
6,10,6,4,3,5,16,2,6,5,18,5,12,22,11,15,7,14,12,10,12,9,10,12
11,7,7,18,17,27,17,7,12,21,24,19,23,16,30,21,16,13,24,2,5,12,11,9
14,4,13,8,24,20,NULL,24,2,19,9,29,46,13,29,6,27,17,13,15,13,17,24,7
19,14,16,19,NULL,NULL,NULL,34,11,4,28,20,23,16,34,36,22,48,22,19,15,NULL,NULL,NULL
NULL,NULL,NULL,NULL,25,65,43,8,18,30,27,57,29,19,40,39,28,17,7,18,3,24,14,21
26,28,33,58,39,29,8,50,30,43,30,19,38,21,38,45,34,26,35,24,20,28,30,26
30,15,22,23,15,22,26,24,NULL,12,38,22,28,23,46,38,40,34,19,27,20,17,20,25
14,14,27,10,17,17,5,22,28,17,10,24,29,42,57,34,29,41,25,25,19,18,14,22
20,24,23,12,12,18,10,14,13,29,36,58,27,50,42,50,43,34,34,21,21,41,30,16
22,23,21,14,22,25,29,8,21,35,39,32,35,63,49,56,46,45,29,22,25,32,NULL,NULL
40,20,14,26,16,26,32,25,32,37,39,63,64,55,68,52,39,39,23,25,26,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,39,17,49,48,59,53,54,54,44,39,45,32,21,43,32,21
21,18,38,36,21,18,46,28,37,53,66,59,29,36,42,88,55,33,33,32,41,28,32,50
72,11,28,16,38,54,24,6,21,22,30,44,42,48,61,55,41,31,41,23,31,42,22,29
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,22,28,23,27,43,16,20,17,30,33,15,17,13,14,24
12,5,23,12,31,16,9,26,19,25,26,36,35,36,27,33,30,42,14,9,16,9,18,20
32,45,28,24,7,8,18,18,20,3,20,27,28,38,65,35,22,11,11,17,16,NULL,NULL,14
17,NULL,NULL,NULL,NULL,NULL,NULL,15,12,30,40,25,46,27,35,64,45,38,31,25,24,21,21,26
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,36,46,45,23,NULL,NULL,47,16,25,18,10,17,33,35,47
49,NULL,5,41,23,22,21,33,41,14,35,22,18,47,48,27,12,28,28,12,14,13,NULL,19
11,21,NULL,16,29,24,19,25,13,19,27,14,28,11,9,40,14,56,22,16,21,12,25,40
22,19,21,19,16,12,25,17,18,21,25,19,23,9,NULL,NULL,11,22,21,15,11,16,2,10
21,21,14,4,15,22,14,5,5,17,11,35,26,12,26,13,38,23,24,6,12,15,14,8
4,32,12,9,17,10,7,10,13,17,22,19,NULL,NULL,NULL,9,32,18,22,20,23,12,13,20
18,17,16,26,19,16,14,2,2,33,24,27,31,41,23,32,19,36,24,15,23,30,20,24
8,18,18,31,10,30,19,11,15,29,35,24,19,37,42,30,44,29,16,9,9,13,9,13
9,18,3,10,17,27,9,15,32,19,31,28,19,14,46,48,38,33,25,16,53,33,14,7
23,28,33,15,15,16,14,17,26,38,15,28,44,15,77,52,41,31,14,34,42,26,17,23
28,30,6,23,17,19,30,17,24,8,26,24,16,17,15,92,44,13,16,18,12,5,36,40
7,29,12,6,22,0,59,30,7,32,21,32,16,26,45,26,26,33,22,15,13,17,24,19
20,6,11,15,17,11,18,6,20,19,24,32,33,6,51,48,32,52,10,42,43,37,22,20
25,26,21,22,16,36,12,18,14,15,9,31,17,11,43,45,41,32,34,22,10,8,32,16
33,12,30,12,7,19,24,27,15,48,46,41,41,34,34,51,34,18,37,23,34,31,42,38
37,46,36,25,42,17,70,33,32,29,48,39,29,30,13,35,34,39,12,16,7,35,46,16
26,22,14,24,26,18,38,25,35,23,17,7,48,36,30,34,28,54,22,11,36,36,15,5
16,19,18,21,13,24,5,16,17,13,11,32,11,25,29,30,38,37,46,24,11,34,15,38
42,25,21,37,15,28,29,16,8,29,47,45,34,39,38,32,54,44,33,44,43,59,67,27
43,30,22,15,45,44,32,35,24,48,29,28,50,26,17,12,60,9,4,8,12,11,11,22
16,14,4,6,21,16,11,20,8,6,8,17,30,29,20,10,23,8,14,12,11,5,29,28
15,21,12,25,20,29,4,25,15,22,30,15,26,18,28,18,37,28,12,28,25,33,12,40
24,24,22,10,18,16,12,11,18,23,18,34,32,24,3,42,37,11,47,21,6,37,38,2
22,25,67,31,9,17,15,21,16,5,33,34,45,40,44,9,37,19,35,28,17,6,22,15
13,18,5,5,26,15,9,12,0,12,13,24,28,4,36,10,31,33,28,17,10,9,8,12
14,11,9,9,18,5,19,22,15,18,19,42,30,32,25,36,38,35,19,15,16,16,30,16
22,16,8,34,26,22,18,12,19,31,37,47,33,27,37,33,22,22,29,22,20,27,19,30
33,29,26,26,22,30,14,20,23,27,16,15,29,31,25,29,27,24,13,25,19,21,21,48
44,35,45,38,40,57,46,17,31,21,18,28,27,28,29,28,50,32,22,18,23,26,22,27
19,8,21,25,23,12,54,27,14,20,34,26,29,35,23,23,29,18,19,18,10,27,17,19
21,20,20,28,18,32,8,25,9,11,20,23,24,24,15,10,34,13,3,10,12,15,14,6
10,11,18,16,5,1,49,14,12,9,28,8,25,27,33,23,26,21,13,7,4,15,20,9
30,8,25,11,13,25,17,9,19,9,27,19,33,26,40,42,22,30,21,14,7,19,25,1
15,7,16,20,15,18,24,7,15,11,27,38,22,21,19,47,43,23,14,26,21,9,18,19
27,17,24,23,19,30,15,15,27,15,38,46,38,60,57,40,43,19,18,22,15,20,26,14
30,5,50,40,27,29,26,24,16,39,37,35,36,59,37,34,44,27,16,15,16,25,24,8
28,33,19,25,33,16,34,14,9,27,27,31,38,39,60,26,36,59,38,24,33,29,24,28
