1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
61,61,58,75,49,41,35,29,4,0,0,1,0,3,8,12,48,75,61,36,31,24,37,40
56,45,37,38,39,47,36,13,2,3,12,8,5,11,9,10,7,25,22,19,21,36,74,54
45,43,49,44,38,32,28,27,17,9,21,13,8,18,17,16,18,41,39,57,41,33,26,29
30,18,20,16,20,28,27,22,20,20,27,16,0,8,28,55,38,19,21,26,23,23,20,21
26,24,23,17,15,23,21,38,40,30,22,9,1,2,2,7,13,16,21,21,23,22,17,34
25,13,11,10,18,20,24,21,6,1,7,0,3,11,17,12,21,14,13,18,41,35,22,35
52,46,37,33,33,41,34,26,9,13,17,11,7,12,22,20,28,26,20,24,34,41,54,44
43,33,32,28,29,36,37,38,23,23,34,15,9,20,24,20,51,55,29,22,23,25,25,35
37,37,36,48,22,19,25,25,16,15,21,2,19,31,26,18,23,45,58,64,76,60,48,81
79,62,50,57,70,51,44,19,0,4,18,18,21,25,29,33,38,33,36,37,46,49,18,29
20,10,9,16,24,26,31,30,24,25,31,43,40,44,35,39,65,40,12,34,47,24,24,27
53,62,73,67,50,33,30,25,1,0,3,10,20,29,26,23,28,31,31,24,38,40,39,44
38,37,36,37,35,34,32,20,0,1,5,18,27,33,18,32,40,53,46,38,44,51,56,33
31,26,29,38,37,40,47,34,20,15,17,41,33,32,26,29,42,58,21,11,34,37,64,60
44,45,42,38,38,44,53,50,19,2,14,27,42,48,45,38,32,34,34,34,43,41,32,21
20,21,30,37,42,48,40,48,47,42,40,52,56,46,39,32,48,48,37,57,28,19,22,9
23,30,26,20,40,21,16,25,20,25,38,44,36,31,30,31,30,49,70,45,25,14,23,24
36,42,42,33,36,34,31,14,16,4,5,27,34,37,35,33,45,43,21,13,28,22,27,21
27,36,31,42,37,31,32,27,21,11,17,26,25,26,23,27,23,17,19,36,34,17,15,21
24,23,33,18,13,11,10,10,1,0,5,15,22,24,16,23,31,30,26,22,36,10,0,0
5,20,23,25,22,31,37,28,3,8,27,35,30,23,20,20,21,24,25,37,60,45,29,17
20,38,43,34,29,23,39,44,22,36,58,52,45,49,54,122,76,19,0,8,31,29,10,7
15,23,32,31,24,31,34,32,16,21,36,41,25,33,27,41,50,98,3,16,68,44,17,35
44,55,41,41,48,53,67,69,31,0,9,37,48,47,49,48,87,46,31,39,43,51,22,19
25,34,30,32,13,24,20,25,29,18,37,5,11,17,24,19,26,36,22,18,16,12,8,11
17,25,24,27,32,41,45,43,27,21,30,22,25,19,19,19,20,18,23,39,30,27,20,20
27,37,34,19,14,14,14,17,9,3,8,10,16,16,12,16,12,29,17,19,20,40,30,18
24,37,42,47,54,53,52,54,38,33,30,29,12,16,16,24,23,20,23,42,87,60,16,5
7,24,28,27,51,59,62,63,45,37,37,38,23,25,26,36,70,47,38,38,54,50,44,63
52,66,68,72,69,73,75,80,50,26,32,56,60,32,24,33,36,68,43,40,49,52,68,66
74,71,61,61,67,69,63,59,51,52,64,44,18,33,37,40,40,35,19,26,25,22,18,25
50,62,70,83,81,69,67,71,59,58,58,55,38,29,20,14,15,25,51,59,67,54,35,21
35,52,51,56,65,79,91,63,7,7,23,26,25,33,27,25,24,31,64,55,46,42,38,36
31,34,32,25,25,25,26,15,16,5,10,13,10,18,15,21,47,30,26,25,33,4,2,1
1,9,19,14,13,6,6,20,14,16,13,1,0,7,11,8,9,9,16,6,9,12,12,13
15,22,18,18,15,17,16,23,13,18,26,29,33,40,18,15,18,17,16,17,17,8,7,3
2,7,9,6,7,9,10,28,19,18,18,21,4,13,18,13,30,33,27,19,18,22,21,8
8,17,27,22,33,27,28,22,10,18,15,11,21,26,27,28,23,29,36,33,28,9,12,19
30,19,23,29,32,22,31,46,35,28,56,51,21,17,15,21,20,42,30,30,32,24,35,36
53,46,42,32,20,28,33,32,34,12,4,1,13,13,16,15,18,21,32,30,23,22,18,25
23,23,30,21,23,23,20,24,11,10,13,19,17,20,20,13,18,19,22,44,39,32,33,34
41,33,30,28,39,39,32,26,29,31,31,29,24,29,31,35,37,31,29,39,36,34,41,43
41,31,34,33,21,21,18,17,32,33,32,20,27,26,20,22,16,20,28,47,27,3,2,6
4,13,12,17,28,18,7,15,11,11,8,19,31,29,27,20,11,22,28,22,24,15,24,26
14,15,19,14,10,13,15,19,19,19,25,32,25,21,27,25,28,33,21,23,26,18,19,12
19,23,24,25,38,38,27,41,49,40,48,57,78,93,80,71,60,6,47,81,51,16,3,8
11,14,14,18,13,17,12,14,16,26,23,10,8,6,12,11,12,42,30,16,11,7,14,13
15,17,17,21,19,10,13,11,18,4,6,4,11,10,9,13,12,18,20,13,19,34,50,57
69,54,43,40,41,39,37,30,20,19,10,20,23,22,24,36,35,38,41,59,35,44,75,88
