1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
175,242,33,39,36,35,27,20,12,17,10,10,11,18,9,13,16,32,7,14,22,16,20,13
11,25,15,12,9,9,9,15,19,18,10,15,18,11,12,25,19,29,20,15,13,6,11,17
11,19,10,15,16,22,26,26,27,28,22,41,37,18,16,25,49,37,29,21,20,11,7,12
16,19,21,14,16,22,16,15,25,14,16,11,19,11,21,19,17,21,29,29,21,30,28,20
33,29,23,21,27,25,29,25,22,21,15,20,18,17,25,40,35,24,18,14,17,18,27,25
29,23,24,16,15,15,20,15,22,27,19,30,31,26,19,23,15,17,14,7,10,9,9,11
15,9,5,7,7,9,14,6,23,15,17,18,21,20,19,26,NULL,NULL,5,26,29,34,27,29
27,24,20,17,17,20,22,18,19,22,13,9,15,8,15,19,18,22,16,20,23,23,29,21
25,25,22,23,25,26,30,18,15,11,20,14,21,18,20,25,27,24,21,32,27,2,2,4
6,4,6,9,7,8,7,9,16,14,19,16,18,59,47,14,13,10,16,17,13,14,15,24
27,20,19,17,9,18,18,19,21,22,17,18,18,14,18,25,26,27,27,22,15,10,11,9
12,17,10,12,10,13,24,19,25,26,23,24,24,5,7,12,20,11,5,12,13,9,5,11
13,15,12,7,14,14,12,10,18,12,15,13,21,18,28,22,39,33,34,37,29,26,26,16
21,16,8,17,14,15,13,17,11,14,16,9,25,11,11,5,16,26,49,29,24,22,23,11
13,23,21,19,17,17,24,23,19,22,11,19,2,6,10,6,23,29,28,44,35,29,17,2
NULL,NULL,7,9,16,9,6,10,8,12,6,6,5,9,14,7,14,17,11,27,21,21,3,6
0,2,7,3,3,6,6,4,5,1,1,7,9,3,0,3,9,12,10,12,9,13,34,21
18,10,5,1,8,4,4,7,11,12,10,7,2,8,15,3,15,13,6,10,20,19,17,5
10,5,8,4,4,8,7,15,42,21,14,11,19,9,14,17,15,9,12,10,17,16,16,21
12,12,8,14,16,14,12,19,17,22,11,8,9,5,10,13,10,4,14,31,13,10,13,15
33,26,25,17,8,9,10,14,19,23,21,15,10,14,23,27,21,17,NULL,NULL,1,19,14,13
13,10,7,11,12,6,13,15,12,15,13,13,11,15,12,11,7,4,7,8,27,24,27,15
22,17,18,12,10,15,19,28,22,19,8,23,17,14,10,18,12,15,12,8,16,27,26,30
27,17,24,19,22,28,23,27,18,16,6,21,13,15,14,21,19,22,17,11,32,25,16,16
12,8,11,11,5,11,9,8,7,12,9,16,11,6,10,10,15,17,11,9,10,12,13,23
24,19,10,14,13,12,12,13,18,15,11,13,25,18,3,5,9,12,13,12,16,22,15,11
14,12,8,16,16,17,19,25,28,19,16,13,19,20,9,12,4,12,17,12,20,27,24,20
10,22,18,11,13,17,14,14,10,14,9,12,16,20,21,24,42,41,22,21,14,10,15,16
17,29,14,17,11,16,19,18,14,19,15,21,22,16,15,13,13,40,47,41,33,31,27,27
27,23,20,21,21,18,30,27,20,21,12,24,31,29,27,35,32,37,25,8,13,19,26,32
